id,cui_orig,cui_target,name_orig,name_target
122,C1057042,C0995323,hyphomicrobiales incertae sedis,hyphomicrobiales
123,C5480912,C0995323,boseaceae,hyphomicrobiales
124,C5614694,C0995323,reyranellaceae,hyphomicrobiales
125,C0022727,C0001699,klebsiella,klebsiella pneumoniae
126,C0315265,C0001699,klebsiella ozaenae,klebsiella pneumoniae
127,C5644972,C0022727,klebsiella/raoultella group,klebsiella
128,C0001699,C0022727,klebsiella pneumoniae,klebsiella
129,C1295798,C0022727,klebsiella sp,klebsiella
130,C3558278,C0022727,klebsiella michiganensis,klebsiella
131,C3921562,C0022727,klebsiella quasipneumoniae,klebsiella
132,C0315260,C0022727,klebsiella oxytoca,klebsiella
133,C1075197,C0022727,klebsiella variicola,klebsiella
134,C1076664,C5644972,raoultella,klebsiella/raoultella group
135,C0014346,C5644972,enterobacteriaceae,klebsiella/raoultella group
136,C0022727,C5644972,klebsiella,klebsiella/raoultella group
137,C1040967,C0014346,enterobacterales,enterobacteriaceae
138,C5644972,C0014346,klebsiella/raoultella group,enterobacteriaceae
139,C1917884,C0014346,phytobacter,enterobacteriaceae
140,C3636940,C0014346,pluralibacter,enterobacteriaceae
141,C0315212,C0014346,buttiauxella,enterobacteriaceae
142,C0317467,C0014346,yokenella,enterobacteriaceae
143,C0315214,C0014346,cedecea,enterobacteriaceae
144,C0315273,C0014346,leclercia,enterobacteriaceae
145,C5482719,C0014346,enterobacteriaceae incertae sedis,enterobacteriaceae
146,C3636939,C0014346,lelliottia,enterobacteriaceae
147,C3945380,C0014346,pseudocitrobacter,enterobacteriaceae
148,C0445757,C0014346,trabulsiella,enterobacteriaceae
149,C5536375,C0014346,unclassified enterobacteriaceae,enterobacteriaceae
150,C0315266,C0014346,kluyvera,enterobacteriaceae
151,C3636941,C0014346,kosakonia,enterobacteriaceae
152,C1894384,C0014346,cronobacter,enterobacteriaceae
153,C0013371,C0014346,shigella,enterobacteriaceae
154,C0014833,C0014346,escherichia,enterobacteriaceae
155,C0036111,C0014346,salmonella,enterobacteriaceae
156,C0085492,C0014346,plesiomonas,enterobacteriaceae
157,C0008862,C0014346,citrobacter,enterobacteriaceae
158,C0014344,C0014346,enterobacter,enterobacteriaceae
159,C0751988,C1040967,gammaproteobacteria,enterobacterales
160,C0014346,C1040967,enterobacteriaceae,enterobacterales
161,C4429592,C1040967,morganellaceae,enterobacterales
162,C4429587,C1040967,erwiniaceae,enterobacterales
163,C4429590,C1040967,hafniaceae,enterobacterales
164,C4429589,C1040967,yersiniaceae,enterobacterales
165,C5529782,C1040967,bruguierivoracaceae,enterobacterales
166,C4429588,C1040967,pectobacteriaceae,enterobacterales
167,None,C0751988,pseudomonadota,gammaproteobacteria
168,C1029226,C0751988,thiotrichales,gammaproteobacteria
169,C1056922,C0751988,gammaproteobacteria incertae sedis,gammaproteobacteria
170,C4005528,C0751988,arenicellales,gammaproteobacteria
171,C4090211,C0751988,nevskiales,gammaproteobacteria
172,C1065472,C0751988,methylococcales,gammaproteobacteria
173,C1065468,C0751988,chromatiales,gammaproteobacteria
174,C1004704,C0751988,unclassified gammaproteobacteria,gammaproteobacteria
175,C1065473,C0751988,oceanospirillales,gammaproteobacteria
176,C1040967,C0751988,enterobacterales,gammaproteobacteria
177,C5642387,C0751988,moraxellales,gammaproteobacteria
178,C0682468,C0751988,pseudomonadales,gammaproteobacteria
179,C1065478,C0751988,pasteurellales,gammaproteobacteria
180,C1065475,C0751988,alteromonadales,gammaproteobacteria
181,C1065469,C0751988,xanthomonadales,gammaproteobacteria
182,C1056979,C0751988,legionellales,gammaproteobacteria
183,C1065476,C0751988,vibrionales,gammaproteobacteria
184,C3597113,C0751988,orbales,gammaproteobacteria
185,C4096259,C0751988,cellvibrionales,gammaproteobacteria
186,C1065470,C0751988,cardiobacteriales,gammaproteobacteria
187,C1065477,C0751988,aeromonadales,gammaproteobacteria
188,C0038402,C3557554,streptococcus,streptococcus danieliae
189,C0038394,C0038402,streptococcaceae,streptococcus
190,C3557554,C0038402,streptococcus danieliae,streptococcus
191,C0318139,C0038402,streptococcus acidominimus,streptococcus
192,C0318188,C0038402,streptococcus cricetus,streptococcus
193,C1482098,C0038402,streptococcus urinary,streptococcus
194,C0318185,C0038402,streptococcus canis,streptococcus
195,C0445660,C0038402,streptococcus hyointestinalis,streptococcus
196,C1496343,C0038402,streptococcus pseudopneumoniae,streptococcus
197,C2995596,C0038402,streptococcus lactarius,streptococcus
198,C0445666,C0038402,streptococcus parauberis,streptococcus
199,C1035386,C0038402,streptococcus pluranimalium,streptococcus
200,C1911639,C0038402,streptococcus caballi,streptococcus
201,C3988714,C0038402,streptococcus azizii,streptococcus
202,C0318187,C0038402,streptococcus rattus,streptococcus
203,C1459658,C0038402,streptococcus pasteurianus,streptococcus
204,C4965652,C0038402,streptococcus koreensis,streptococcus
205,C1047372,C0038402,streptococcus infantarius,streptococcus
206,C1027169,C0038402,streptococcus peroris,streptococcus
207,C0445664,C0038402,streptococcus downei,streptococcus
208,C0085520,C0038402,streptococcus suis,streptococcus
209,C0318186,C0038402,streptococcus luteciae,streptococcus
210,C1053623,C0038402,streptococcus australis,streptococcus
211,C0318141,C0038402,streptococcus crista,streptococcus
212,C1084989,C0038402,streptococcus infantis,streptococcus
213,C0445668,C0038402,streptococcus vestibularis,streptococcus
214,C1201989,C0038402,streptococcus sinensis,streptococcus
215,C0038412,C0038402,streptococcus sanguinus,streptococcus
216,C0445665,C0038402,streptococcus parasanguinis,streptococcus
217,C1192147,C0038402,streptococcus lutetiensis,streptococcus
218,C0318181,C0038402,intestinal streptococcus,streptococcus
219,C0348055,C0038402,streptococcus gordonii,streptococcus
220,C0318150,C0038402,streptococcus uberis,streptococcus
221,C0579233,C0038402,streptococcus agalactiae,streptococcus
222,C1057352,C0038402,streptococcus dysgalactiae group,streptococcus
223,C0038409,C0038402,streptococcus mutans,streptococcus
224,C0085497,C0038402,streptococcus sobrinus,streptococcus
225,C1136015,C0038402,streptococcus milleri,streptococcus
226,C0318193,C0038402,streptococcus anginosus group,streptococcus
227,C0318157,C0038402,streptococcus viridans,streptococcus
228,C0318179,C0038402,s salivarius,streptococcus
229,C0038410,C0038402,streptococcus pneumoniae,streptococcus
230,C1017328,C0038402,streptococcus gallolyticus,streptococcus
231,C5304029,C0038402,unclassified streptococcus,streptococcus
232,C0318180,C0038402,streptococcus thermophilus,streptococcus
233,C0318146,C0038402,streptococcus mitis,streptococcus
234,C0085496,C0038402,streptococcus bovis,streptococcus
235,C0038411,C0038402,streptococcus pyogenes,streptococcus
236,C0318174,C0038402,streptococcus oralis,streptococcus
237,C1210581,C0038394,lactobacillales,streptococcaceae
238,C0038402,C0038394,streptococcus,streptococcaceae
239,C1009964,C0038394,unclassified streptococcaceae,streptococcaceae
240,C3108727,C0038394,okadaella,streptococcaceae
241,C0085549,C0038394,lactococccus,streptococcaceae
242,C0004587,C1210581,bacilli,lactobacillales
243,C0038394,C1210581,streptococcaceae,lactobacillales
244,C0022937,C1210581,lactobacillaceae,lactobacillales
245,C1444108,C1210581,aerococcaceae,lactobacillales
246,C1035041,C1210581,enterococcaceae,lactobacillales
247,C1210583,C1210581,carnobacteriaceae,lactobacillales
248,C1254144,C0004587,bacillota,bacilli
249,C1210581,C0004587,lactobacillales,bacilli
250,C1456435,C0004587,bacillales,bacilli
251,C5526280,C0995486,erythrobacter/porphyrobacter group,erythrobacter
252,C0995524,C5526280,porphyrobacter,erythrobacter/porphyrobacter group
253,C1640631,C5526280,erythrobacteraceae,erythrobacter/porphyrobacter group
254,C0995486,C5526280,erythrobacter,erythrobacter/porphyrobacter group
255,C1004755,C1006452,microbacterium,microbacterium dextranolyticum
256,C1272768,C1004755,microbacteriaceae,microbacterium
257,C1006452,C1004755,microbacterium dextranolyticum,microbacterium
258,C5304311,C1004755,unclassified microbacterium,microbacterium
259,C0995826,C1004755,microbacterium testaceum,microbacterium
260,C1072349,C1004755,microbacterium nematophilum,microbacterium
261,C1004757,C1004755,microbacterium imperiale,microbacterium
262,C1048267,C1004755,microbacterium foliorum,microbacterium
263,C1036635,C1004755,microbacterium chocolatum,microbacterium
264,C1004780,C1004755,microbacterium barkeri,microbacterium
265,C0314868,C1004755,microbacterium flavescens,microbacterium
266,C1939522,C1272768,labedella,microbacteriaceae
267,C1032036,C1272768,mycetocola,microbacteriaceae
268,C1495764,C1272768,gulosibacter,microbacteriaceae
269,C1487620,C1272768,salinibacterium,microbacteriaceae
270,C0995653,C1272768,clavibacter,microbacteriaceae
271,C1627520,C1272768,microcella,microbacteriaceae
272,C1494711,C1272768,pseudoclavibacter,microbacteriaceae
273,C1052301,C1272768,leifsonia,microbacteriaceae
274,C1083844,C1272768,leucobacter,microbacteriaceae
275,C0995827,C1272768,curtobacterium,microbacteriaceae
276,C1012557,C1272768,agrococcus,microbacteriaceae
277,C1037105,C1272768,micrococcales,microbacteriaceae
278,C1004755,C1272768,microbacterium,microbacteriaceae
279,C5476617,C1037105,ornithinimicrobiaceae,micrococcales
280,C1037115,C1037105,promicromonosporaceae,micrococcales
281,C1037114,C1037105,cellulomonadaceae,micrococcales
282,C1037119,C1037105,intrasporangiaceae,micrococcales
283,C1037117,C1037105,brevibacteriaceae,micrococcales
284,C1037118,C1037105,dermabacteraceae,micrococcales
285,C5476618,C1037105,tropherymataceae,micrococcales
286,C5476615,C1037105,kytococcaceae,micrococcales
287,C0025964,C1037105,micrococcaceae,micrococcales
288,C0600148,C1037105,actinomycetes,micrococcales
289,C1272768,C1037105,microbacteriaceae,micrococcales
290,C1261283,C0600148,actinomycetota,actinomycetes
291,C1037105,C0600148,micrococcales,actinomycetes
292,C2670417,C0600148,kineosporiales,actinomycetes
293,C4104185,C0600148,geodermatophilales,actinomycetes
294,C1037112,C0600148,glycomycetales,actinomycetes
295,C1037107,C0600148,micromonosporales,actinomycetes
296,C1086500,C0600148,streptosporangiales,actinomycetes
297,C0995701,C0600148,pseudonocardiales,actinomycetes
298,C1037103,C0600148,bifidobacteriales,actinomycetes
299,C1037106,C0600148,mycobacteriales,actinomycetes
300,C0001254,C0600148,actinomycetales,actinomycetes
301,C1037108,C0600148,propionibacteriales,actinomycetes
302,C1037092,C1261283,acidimicrobiia,actinomycetota
303,C3083544,C1261283,nitriliruptoria,actinomycetota
304,C3940390,C1261283,thermoleophilia,actinomycetota
305,C4520946,C1261283,rubrobacteria,actinomycetota
306,C1094273,C1261283,coriobacteriia,actinomycetota
307,C4128729,C1261283,terrabacteria group,actinomycetota
308,C0600148,C1261283,actinomycetes,actinomycetota
309,C0014346,C0014833,enterobacteriaceae,escherichia
310,C0014834,C0014833,escherichia coli,escherichia
311,C5304031,C0014833,unclassified escherichia,escherichia
312,C4304422,C0014833,escherichia marmotae,escherichia
313,C2988245,C0014833,escherichia faecalis,escherichia
314,C0315247,C0014833,escherichia fergusonii,escherichia
315,C1225188,C0014833,escherichia albertii,escherichia
316,C0022937,C0022938,lactobacillaceae,lactobacillus
317,C0445728,C0022938,lactobacillus johnsonii,lactobacillus
318,C1234585,C0022938,lactobacillus ultunensis,lactobacillus
319,C1260937,C0022938,bacillus lactis,lactobacillus
320,C1036187,C0022938,lactobacillus amylolyticus,lactobacillus
321,C1087564,C0022938,lactobacillus hamsteri,lactobacillus
322,C2673102,C0022938,intermedius lactobacillus,lactobacillus
323,C0317616,C0022938,lactobacillus rogosae,lactobacillus
324,C2761482,C0022938,lactobacillus taiwanensis,lactobacillus
325,C4218718,C0022938,lactobacillus bombicola,lactobacillus
326,C1016542,C0022938,lactobacillus gallinarium,lactobacillus
327,C0317618,C0022938,lactobacillus amylovorus,lactobacillus
328,C1072609,C0022938,lactobacillus intestinalis,lactobacillus
329,C0317649,C0022938,lactobacillus kefiranofaciens m,lactobacillus
330,C2759066,C0022938,lactobacillus equicursoris,lactobacillus
331,C0317589,C0022938,lactobacillus jensenii,lactobacillus
332,C1191795,C0022938,lactobacillus iners,lactobacillus
333,C3577591,C0022938,lactobacillus hominis,lactobacillus
334,C0317588,C0022938,lactobacillus delbrueckii,lactobacillus
335,C5310818,C0022938,unclassified lactobacillus,lactobacillus
336,C0317620,C0022938,lactobacillus gasseri,lactobacillus
337,C0317614,C0022938,lactobacillus crispatus,lactobacillus
338,C0022939,C0022938,lactobacillus acidophilus w37 lactobacillus brevis w63,lactobacillus
339,C0317592,C0022938,lactobacillus helveticus,lactobacillus
340,C1210581,C0022937,lactobacillales,lactobacillaceae
341,C0022938,C0022937,lactobacillus,lactobacillaceae
342,C5471191,C0022937,agrilactobacillus,lactobacillaceae
343,C5471197,C0022937,fructilactobacillus,lactobacillaceae
344,C1012487,C0022937,oenococcus,lactobacillaceae
345,C5471207,C0022937,schleiferilactobacillus,lactobacillaceae
346,C5471193,C0022937,apilactobacillus,lactobacillaceae
347,C5471196,C0022937,dellaglioa,lactobacillaceae
348,C5471198,C0022937,furfurilactobacillus,lactobacillaceae
349,C5471195,C0022937,companilactobacillus,lactobacillaceae
350,C2653013,C0022937,fructobacillus,lactobacillaceae
351,C5471204,C0022937,liquorilactobacillus,lactobacillaceae
352,C5471209,C0022937,lentilactobacillus,lactobacillaceae
353,C5469833,C0022937,lacticaseibacillus,lactobacillaceae
354,C5471203,C0022937,ligilactobacillus,lactobacillaceae
355,C1012488,C0022937,weissella,lactobacillaceae
356,C5466534,C0022937,limosilactobacillus,lactobacillaceae
357,C0030762,C0022937,pediococcus,lactobacillaceae
358,C0023411,C0022937,leuconostoc pediococcus,lactobacillaceae
359,C5471183,C0022937,lactiplantibacillus,lactobacillaceae
360,C5471202,C0022937,levilactobacillus,lactobacillaceae
361,C5471201,C0022937,latilactobacillus,lactobacillaceae
362,C5471205,C0022937,loigolactobacillus,lactobacillaceae
363,C1003847,C0005380,bifidobacteriaceae,bifidobacteria
364,C0314975,C0005380,bifidobacterium breve,bifidobacteria
365,C0314986,C0005380,bifidobacterium gallicum,bifidobacteria
366,C0314973,C0005380,bifidobacterium asteroides,bifidobacteria
367,C0314990,C0005380,bifidobacterium choerinum,bifidobacteria
368,C0314993,C0005380,bifidobacterium subtile 9,bifidobacteria
369,C0314982,C0005380,bifidobacterium angulatum,bifidobacteria
370,C0314991,C0005380,bifidobacterium boum,bifidobacteria
371,C2762321,C0005380,bifidobacterium mongoliense,bifidobacteria
372,C1033056,C0005380,bifidobacterium merycicum,bifidobacteria
373,C3794782,C0005380,faecal bifidobacterium,bifidobacteria
374,C0314984,C0005380,bifidobacterium catenulatum,bifidobacteria
375,C5304039,C0005380,unclassified bifidobacterium,bifidobacteria
376,C0314978,C0005380,bifidobacterium pseudolongum,bifidobacteria
377,C0314985,C0005380,bifidobacterium dentium,bifidobacteria
378,C0314979,C0005380,bifidobacterium thermophilum,bifidobacteria
379,C0314992,C0005380,bifidobacterium seudocatenulatum,bifidobacteria
380,C0314974,C0005380,bifidobacterium bifidum,bifidobacteria
381,C0314977,C0005380,bifidobacterium longum,bifidobacteria
382,C0314972,C0005380,bifidobacterium adolescentis,bifidobacteria
383,C1001866,C0005380,bifidobacterium lactis,bifidobacteria
384,C1037103,C1003847,bifidobacteriales,bifidobacteriaceae
385,C0005380,C1003847,bifidobacteria,bifidobacteriaceae
386,C3628564,C1003847,pseudoscardovia,bifidobacteriaceae
387,C0085166,C1003847,gardnerella,bifidobacteriaceae
388,C1897115,C1003847,alloscardovia,bifidobacteriaceae
389,C1217453,C1003847,parascardovia,bifidobacteriaceae
390,C1217452,C1003847,scardovia,bifidobacteriaceae
391,C0600148,C1037103,actinomycetes,bifidobacteriales
392,C1003847,C1037103,bifidobacteriaceae,bifidobacteriales
393,C0011731,C1227211,desulfovibrionia,desulfovibrionales
394,C1216672,C1227211,desulfovibrionaceae,desulfovibrionales
395,C1227213,C1227211,desulfohalobiaceae,desulfovibrionales
396,C1227212,C1227211,desulfomicrobiaceae,desulfovibrionales
397,C1220832,C0011731,thermodesulfobacteriota,desulfovibrionia
398,C1227211,C0011731,desulfovibrionales,desulfovibrionia
399,C0995415,C1220832,desulfuromonadia,thermodesulfobacteriota
400,C0004611,C1220832,bacteria,thermodesulfobacteriota
401,C0011731,C1220832,desulfovibrionia,thermodesulfobacteriota
402,C3131019,C1902775,christensenella,christensenellaceae
403,C1210563,C1228943,eubacteriales,ruminococcaceae
404,C1229075,C1228943,faecalibacterium,ruminococcaceae
405,C4448766,C1228943,fournierella,ruminococcaceae
406,C3576107,C1228943,saccharofermentans,ruminococcaceae
407,C4420912,C1228943,harryflintia,ruminococcaceae
408,C4443560,C1228943,pygmaiobacter,ruminococcaceae
409,C4903695,C1228943,pseudoclostridium,ruminococcaceae
410,C1662162,C1228943,fastidiosipila,ruminococcaceae
411,C4446779,C1228943,angelakisella,ruminococcaceae
412,C4807194,C1228943,lawsonibacter,ruminococcaceae
413,C4201541,C1228943,mageeibacillus,ruminococcaceae
414,C5613157,C1228943,solibaculum,ruminococcaceae
415,C4429645,C1228943,drancourtella,ruminococcaceae
416,C4903693,C1228943,thermoclostridium,ruminococcaceae
417,C4430696,C1228943,ruthenibacterium,ruminococcaceae
418,C1087888,C1228943,papillibacter,ruminococcaceae
419,C1016917,C1228943,anaerofilum,ruminococcaceae
420,C2668376,C1228943,hydrogenoanaerobacterium,ruminococcaceae
421,C3933695,C1228943,anaerobacterium,ruminococcaceae
422,C2959477,C1228943,pseudoflavonifractor,ruminococcaceae
423,C2295280,C1228943,unclassified oscillospiraceae,ruminococcaceae
424,C5536586,C1228943,oscillospiraceae incertae sedis,ruminococcaceae
425,C5254946,C1228943,dysosmobacter,ruminococcaceae
426,C1496815,C1228943,acetanaerobacterium,ruminococcaceae
427,C1493608,C1228943,anaerotruncus,ruminococcaceae
428,C2959924,C1228943,flavonifractor,ruminococcaceae
429,C0318074,C1228943,ruminococcus,ruminococcaceae
430,C3947620,C1228943,ruminiclostridium,ruminococcaceae
431,C1057550,C1228943,oscillospira,ruminococcaceae
432,C2288424,C1228943,oscillibacter,ruminococcaceae
433,C1082766,C1228943,sporobacter,ruminococcaceae
434,C1503440,C1228943,subdoligranulum,ruminococcaceae
435,C0314771,C1228943,acetivibrio,ruminococcaceae
436,C1227211,C1216672,desulfovibrionales,desulfovibrionaceae
437,C0445946,C1216672,bilophila,desulfovibrionaceae
438,C0752045,C1216672,lawsonia,desulfovibrionaceae
439,C5654495,C1216672,oleidesulfovibrio,desulfovibrionaceae
440,C0001078,C1004784,acholeplasmataceae,phytoplasma
441,C0001076,C0001078,acholeplasma,acholeplasmataceae
442,C1210218,C0001078,acholeplasmatales,acholeplasmataceae
443,C1004784,C0001078,phytoplasma,acholeplasmataceae
444,C3179193,C1210218,mollicutes,acholeplasmatales
445,C0001078,C1210218,acholeplasmataceae,acholeplasmatales
446,C0026934,C3179193,mycoplasmatota,mollicutes
447,C1210218,C3179193,acholeplasmatales,mollicutes
448,C1265368,C3179193,anaeroplasmatales,mollicutes
449,C0026944,C3179193,mycoplasmatales,mollicutes
450,C1210217,C3179193,entomoplasmatales,mollicutes
451,C4128729,C0026934,terrabacteria group,mycoplasmatota
452,C3179193,C0026934,mollicutes,mycoplasmatota
453,C5522406,C0026934,mycoplasmoidales,mycoplasmatota
454,C0004660,C0004661,bacteroidaceae,bacteroides
455,C0314924,C0004661,thetaiotaomicron,bacteroides
456,C0314951,C0004661,bacteroides zoogleoformans,bacteroides
457,C1649353,C0004661,bacteroides denticanum,bacteroides
458,C3800281,C0004661,bacteroides timonensis,bacteroides
459,C2613860,C0004661,bacteroides cellulosilyticus,bacteroides
460,C0314956,C0004661,bacteroides helcogenes,bacteroides
461,C3905016,C0004661,bacteroides luti,bacteroides
462,C3557663,C0004661,bacteroides stercorirosoris,bacteroides
463,C1650046,C0004661,bacteroides finegoldii,bacteroides
464,C0314959,C0004661,prevotella heparinolytica,bacteroides
465,C1929902,C0004661,bacteroides gallinarum,bacteroides
466,C2773833,C0004661,bacteroides fluxus,bacteroides
467,C2773832,C0004661,bacteroides clarus,bacteroides
468,C3557664,C0004661,bacteroides faecichinchillae,bacteroides
469,C4124278,C0004661,bacteroides caecimuris,bacteroides
470,C1671804,C0004661,bacteroides nordii,bacteroides
471,C1630527,C0004661,bacteroides salyersiae,bacteroides
472,C5334456,C0004661,unclassified bacteroides,bacteroides
473,C1651518,C0004661,bacteroides intestinalis,bacteroides
474,C2796430,C0004661,bacteroides faecis,bacteroides
475,C0314942,C0004661,bacteroides eggerthii,bacteroides
476,C0314957,C0004661,bacteroides tectus,bacteroides
477,C2996959,C0004661,bacteroides rodentium,bacteroides
478,C0314923,C0004661,bacteroides ovatus,bacteroides
479,C0314925,C0004661,bacteroides uniformis,bacteroides
480,C0314968,C0004661,bacteroides stercoris,bacteroides
481,C5458012,C0004661,bacteroides faecalis,bacteroides
482,C0314966,C0004661,bacteroides caccae,bacteroides
483,C2614420,C0004661,bacteroides xylanisolvens,bacteroides
484,C0004663,C0004661,bacteroides fragilis,bacteroides
485,C1037658,C0004661,bacteroides acidifaciens,bacteroides
486,C1080663,C0004660,bacteroidales,bacteroidaceae
