id,cui,name,official_name,definition
50,C0022938,lactobacillus,Lactobacillus,"A genus of gram-positive, microaerophilic, rod-shaped bacteria occurring widely in nature. Its species are also part of the many normal flora of the mouth, intestinal tract, and vagina of many mammals, including humans. Lactobacillus species are homofermentative and ferment a broad spectrum of carbohydrates often host-adapted but do not ferment PENTOSES. Most members were previously assigned to the Lactobacillus delbrueckii group. Pathogenicity from this genus is rare."
51,C0022937,lactobacillaceae,Family Lactobacillaceae,"A family of gram-positive bacteria found regularly in the mouth and intestinal tract of man and other animals, in food and dairy products, and in fermenting vegetable juices. A few species are highly pathogenic."
52,C0005380,bifidobacteria,Bifidobacterium,"A rod-shaped, gram-positive, non-acid-fast, non-spore-forming, non-motile bacterium that is a genus of the family Bifidobacteriaceae, order Bifidobacteriales, class ACTINOBACTERIA. It inhabits the intestines and feces of humans as well as the human vagina."
53,C1003847,bifidobacteriaceae,Bifidobacteriaceae,"A taxonomic family of bacterium in the phylum Actinobacteria that includes the genera Bifidobacterium, Gardnerella and Falcivibrio."
54,C1037103,bifidobacteriales,Bifidobacteriales,None
55,C1227211,desulfovibrionales,Desulfovibrionales,"An order of bacteria within the class DELTAPROTEOBACTERIA, of the phylum PROTEOBACTERIA, which comprises four families."
56,C0011731,desulfovibrionia,Desulfovibrio,"A genus of gram-negative, anaerobic, rod-shaped bacteria capable of reducing sulfur compounds to hydrogen sulfide. Organisms are isolated from anaerobic mud of fresh and salt water, animal intestines, manure, and feces."
57,C1220832,thermodesulfobacteriota,Thermodesulfobacteria <phylum>,None
58,C1902775,christensenellaceae,Catabacteriaceae,None
59,C1228943,ruminococcaceae,Family Oscillospiraceae,None
60,C1216672,desulfovibrionaceae,Desulfovibrionaceae,"A taxonomic family of mostly sulfate-reducing bacterium in the phylum Proteobacteria that includes the genera Bilophila, Desulfovibrio and Lawsonia, among others."
61,C1004784,phytoplasma,Phytoplasma,"A genus of minute bacteria in the family ACHOLEPLASMATACEAE that inhabit phloem sieve elements of infected PLANTS and cause symptoms such as yellowing, phyllody, and witches brooms. Organisms lack a CELL WALL and thus are similar to MYCOPLASMA in animals. They are transmitted by over 100 species of INSECTS especially leafhoppers, planthoppers, and PSYLLIDS."
62,C0001078,acholeplasmataceae,Acholeplasmataceae,"Gram-negative organisms including apparently free-living saphrophytes as well as mammalian and avian parasites, and possibly pathogens."
63,C1210218,acholeplasmatales,Acholeplasmatales,None
64,C3179193,mollicutes,Mollicutes,None
65,C0026934,mycoplasmatota,Mycoplasma,"A genus of gram-negative, mostly facultatively anaerobic bacteria in the family MYCOPLASMATACEAE. The cells are bounded by a PLASMA MEMBRANE and lack a true CELL WALL. Its organisms are pathogens found on the MUCOUS MEMBRANES of humans, ANIMALS, and BIRDS."
66,C0004661,bacteroides,Bacteroides,"A genus of gram-negative, anaerobic, rod-shaped bacteria. Its organisms are normal inhabitants of the oral, respiratory, intestinal, and urogenital cavities of humans, animals, and insects. Some species may be pathogenic."
67,C0004660,bacteroidaceae,Bacteroidaceae,A family of gram-negative bacteria found primarily in the intestinal tracts and mucous membranes of warm-blooded animals. Its organisms are sometimes pathogenic.
68,C1080663,bacteroidales,Bacteroidales,None
69,C1634514,bacteroidia,Bacteroidetes (class),None
70,C0995456,bacteroidota,Bacteroidetes,"A phylum of bacteria composed of three large classes of bacteria that are widely distributed in the environment, including in soil, in sediments, sea water and in the guts of animals."
71,C1003853,clostridiaceae,Clostridiaceae,"A taxonomic family of bacterium in the phylum Firmicutes that includes the genera Alkaliphilus, Clostridium and Lutispora, among others."
72,C0016878,fusobacterium,Genus Fusobacterium,"A genus of gram-negative, anaerobic, rod-shaped bacteria found in cavities of humans and other animals. No endospores are formed. Some species are pathogenic and occur in various purulent or gangrenous infections."
73,C1222479,fusobacteriaceae,Fusobacteriaceae,"A taxonomic family of bacterium in the phylum Fusobacteria that includes the genera Fusobacterium, Leptotrichia and Streptobacillus, among others."
74,C2268197,fusobacteriales,Fusobacteriales,None
75,C1222477,fusobacteriia,Fusobacteria (class),None
76,C1003893,fusobacteriota,Phylum Fusobacteria,A phylum of anaerobic Gram-negative bacteria that are a normal component of the gut flora.
77,C0242946,prevotella,Prevotella,"A genus of gram-negative, anaerobic, nonsporeforming, nonmotile rods. Organisms of this genus had originally been classified as members of the BACTEROIDES genus but overwhelming biochemical and chemical findings in 1990 indicated the need to separate them from other Bacteroides species, and hence, this new genus was established."
78,C1080666,prevotellaceae,Family Prevotellaceae,"A taxonomic family of bacterium in the phylum Bacteroidetes that includes the genera Hallella, Prevotella and Xylanibacter, among others."
79,C0751985,proteobacteria,Proteobacteria,A phylum of bacteria consisting of the purple bacteria and their relatives which form a branch of the eubacterial tree. This group of predominantly gram-negative bacteria is classified based on homology of equivalent nucleotide sequences of 16S ribosomal RNA or by hybridization of ribosomal RNA or DNA with 16S and 23S ribosomal RNA.
80,C1094021,verrucomicrobia,Verrucomicrobia,A phylum of gram-negative bacteria containing seven class-level groups from a wide variety of environments. Most members are chemoheterotrophs.
81,C4128736,pvc group,PVC group,None
82,C4473044,dubosiella,Dubosiella,None
83,C1062146,erysipelotrichaceae,Family Erysipelotrichaceae,"A taxonomic family of Gram positive bacterium in the phylum Firmicutes that includes the genera Holdemania, Allobaculum, Coprobacillus, and Erysipelothrix, among others."
84,C2313595,erysipelotrichales,Erysipelotrichales,None
85,C3557255,erysipelotrichia,Erysipelotrichia,None
86,C0033697,proteus,Proteus,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that occurs in the intestines of humans and a wide variety of animals, as well as in manure, soil, and polluted waters. Its species are pathogenic, causing urinary tract infections and are also considered secondary invaders, causing septic lesions at other sites of the body."
87,C4429592,morganellaceae,Morganellaceae,None
88,C0018150,gram negative bacteria,Gram Negative Bacteria,Bacteria which lose crystal violet stain but are stained pink when treated by Grams method.
89,C0317625,lactobacillus reuteri,Lactobacillus reuteri,"A species of gram-positive, rod-shaped LACTIC ACID bacteria found naturally in the human intestinal flora and BREAST MILK."
90,C0014834,escherichia coli,Escherichia coli,"A species of gram-negative, facultatively anaerobic, rod-shaped bacteria (GRAM-NEGATIVE FACULTATIVELY ANAEROBIC RODS) commonly found in the lower part of the intestine of warm-blooded animals. It is usually nonpathogenic, but some strains are known to produce DIARRHEA and pyogenic infections. Pathogenic strains (virotypes) are classified by their specific pathogenic mechanisms such as toxins (ENTEROTOXIGENIC ESCHERICHIA COLI), etc."
91,C0445728,lactobacillus johnsonii,Lactobacillus johnsonii,"A species of facultatively anaerobic, Gram positive, rod shaped bacteria in the phylum Firmicutes. This species is nonmotile, catalase negative, produces acid from trehalose, nonsporeforming and produces lactic acid. L. johnsonii is a commensal organism of the upper gastrointestinal tract with probiotic activity."
92,C0085475,thermophilus sty,Thermus thermophilus (bacterium),"A species of gram-negative, aerobic, rod-shaped bacteria found in hot springs of neutral to alkaline pH, as well as in hot-water heaters."
93,C0317591,delbrueckii bulgaricus,Lactobacillus bulgaricus,"A subspecies of Lactobacillus delbrueckii, formerly classified as a separate species, that is used for producing YOGURT and as a PROBIOTIC."
94,C1490590,akkermansia muciniphila,Akkermansia muciniphila,None
95,C1490589,akkermansia,Akkermansia,"A genus of gram-negative, anaerobic bacteria in the phylum VERRUCOMICROBIA and the family Akkermansiaceae. This genus includes the species Akkermansia muciniphila which is known for residing in the human intestinal tract and having effects on human metabolism."
96,C4103791,akkermansiaceae,Akkermansiaceae,None
97,C1013959,verrucomicrobiales,Verrucomicrobiales,None
98,C1222481,verrucomicrobiae,Verrucomicrobiae,None
99,C0317614,lactobacillus crispatus,Lactobacillus crispatus,"A species of Lactobacillus that occurs in the human GASTROINTESTINAL TRACT and the VAGINA of healthy women. It produces LACTIC ACID and HYDROGEN PEROXIDE, and is used as a PROBIOTIC. It is also used for the treatment and prevention of BACTERIAL VAGINOSIS."
100,C0001138,acinetobacter,Acinetobacter,"A genus of gram-negative bacteria of the family MORAXELLACEAE, found in soil and water and of uncertain pathogenicity."
101,C0995357,moraxellaceae,Moraxellaceae,"A taxonomic family of bacterium in the phylum Proteobacteria that includes the genera Moraxella, Acinetobacter and Psychrobacter, among others."
102,C5642387,moraxellales,Moraxellales,None
103,C0008151,chlamydia trachomatis,Chlamydia trachomatis,Type species of CHLAMYDIA causing a variety of ocular and urogenital diseases.
104,C0008148,chlamydia,Genus Chlamydia,"A genus of the family CHLAMYDIACEAE whose species cause a variety of diseases in vertebrates including humans, mice, and swine. Chlamydia species are gram-negative and produce glycogen. The type species is CHLAMYDIA TRACHOMATIS."
105,C3412572,chlamydia/chlamydophila group,Chlamydia/Chlamydophila group,None
106,C0008152,chlamydiaceae,Chlamydiaceae,"A family of gram-negative, coccoid microorganisms, in the order CHLAMYDIALES, pathogenic for vertebrates. Genera include CHLAMYDIA and CHLAMYDOPHILA."
107,C0008154,chlamydiales,Chlamydiales,"An order of obligately intracellular, gram-negative bacteria that have the chlamydia-like developmental cycle of replication. This is a two-stage cycle that includes a metabolically inactive infectious form, and a vegetative form that replicates by binary fission. Members of Chlamydiales are disseminated by aerosol or by contact. There are at least six recognized families: CHLAMYDIACEAE, Criblamydiaceae, Parachlamydiaceae, Rhabdochlamydia, Simkaniaceae, and Waddliaceae."
108,C3463900,chlamydiia,Chlamydiae <Chlamydiia>,None
109,C1532554,chlamydiota,Phylum Chlamydiae,A phylum of bacteria whose members are obligate intracellular pathogens.
110,C0026926,mycobacterium tuberculosis,Mycobacterium tuberculosis,"A species of gram-positive, aerobic bacteria that produces TUBERCULOSIS in humans, other primates, CATTLE; DOGS; and some other animals which have contact with humans. Growth tends to be in serpentine, cordlike masses in which the bacilli show a parallel orientation."
111,C1032649,mycobacterium tuberculosis complex,Mycobacterium tuberculosis complex,"A group of four closely related tuberculosis-causing bacteria: M. bovis, M. africanum, M. canetti and M. microti."
112,C0026912,mycobacterium,Genus Mycobacterium,"A genus of gram-positive, aerobic bacteria. Most species are free-living in soil and water, but the major habitat for some is the diseased tissue of warm-blooded hosts."
113,C0026907,mycobacteriaceae,Mycobacteriaceae,A family of gram-positive bacteria found in soil and dairy products and as parasites on animals and man. Several are important pathogens.
114,C1037106,mycobacteriales,Corynebacterineae,None
115,C0027573,neisseria gonorrhoeae,Neisseria gonorrhoeae,"A species of gram-negative, aerobic bacteria primarily found in purulent venereal discharges. It is the causative agent of GONORRHEA."
116,C0027571,neisseria,Neisseria,"A genus of gram-negative, aerobic, coccoid bacteria whose organisms are part of the normal flora of the oropharynx, nasopharynx, and genitourinary tract. Some species are primary pathogens for humans."
117,C0027576,neisseriaceae,Neisseriaceae,"A family of gram-negative, parasitic bacteria including several important pathogens of man."
118,C1224086,neisseriales,Neisseriales,None
119,C0751987,betaproteobacteria,Betaproteobacteria,A class in the phylum PROTEOBACTERIA comprised of chemoheterotrophs and chemoautotrophs which derive nutrients from decomposition of organic material.
120,C0001703,aerococcus,Aerococcus,"A genus of gram-positive cocci in the family AEROCOCCACEAE, occurring as airborne saprophytes."
121,C1444108,aerococcaceae,Aerococcaceae,A family of gram-positive lactic acid-producing bacteria in the order Lactobacillales.
122,C0317723,megasphaera,Megasphaera,"A genus of anaerobic, Gram negative, cocci shaped bacterium assigned to the phylum Firmicutes and the family Veillonellaceae."
123,C0042447,veillonellaceae,Veillonellaceae,"A taxonomic family of Gram negative, obligately anaerobic bacterium in the phylum Firmicutes that includes the genera Megasphaera, Misuokella, Acidaminococcus and Selenomonas, among others."
124,C4386155,veillonellales,Veillonellales,None
125,C3084169,negativicutes,Negativicutes,None
126,C1016768,brachyspira pilosicoli,Brachyspira pilosicoli,Brachyspira pilosicoli
127,C0162785,brachyspira,Serpulina,A genus of spiral bacteria of the family Brachyspiraceae.
128,C1069641,brachyspiraceae,Family Brachyspiraceae,None
129,C4104182,brachyspirales,Brachyspirales,None
130,C1222582,spirochaetia,Class Spirochaetes,None
131,C0699955,spirochaetota,SUBCLASS SPIROCHETES,None
132,C0037973,spirochaetales,ORDER SPIROCHAETALES,"An order of slender, flexuous, helically coiled bacteria, with one or more complete turns in the helix."
133,C0042446,veillonella,Veillonella,"A genus of gram-negative, anaerobic cocci parasitic in the mouth and in the intestinal and respiratory tracts of man and other animals."
134,C1229075,faecalibacterium,Faecalibacterium,"A genus of anaerobic, Gram positive, cocci shaped bacterium assigned to the phylum Firmicutes and the family Ruminococcaceae."
135,C1490417,alistipes,Alistipes,"A genus of anaerobic, Gram negative, rod shaped bacterium assigned to the phylum Bacteroidetes and the family Rikenellaceae."
136,C1080664,rikenellaceae,Rikenellaceae,None
137,C0318074,ruminococcus,Ruminococcus,"A genus of anaerobic, Gram positive, cocci shaped bacterium assigned to the phylum Firmicutes and the family Ruminococcaceae."
138,C0033809,pseudomonas aeruginosa,Pseudomonas aeruginosa,"A species of gram-negative, aerobic, rod-shaped bacteria commonly isolated from clinical specimens (wound, burn, and urinary tract infections). It is also found widely distributed in soil and water. P. aeruginosa is a major agent of nosocomial infection."
139,C1066168,pseudomonas aeruginosa group,Pseudomonas aeruginosa group,None
140,C0033808,pseudomonas,Pseudomonas,"A genus of gram-negative, aerobic, rod-shaped bacteria widely distributed in nature. Some species are pathogenic for humans, animals, and plants."
141,C0033807,pseudomonadaceae,Pseudomonadaceae,A family of gram-negative bacteria usually found in soil or water and including many plant pathogens and a few animal pathogens.
142,C0682468,pseudomonadales,Pseudomonadales,None
143,C0036111,salmonella,Salmonella,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that utilizes citrate as a sole carbon source. It is pathogenic for humans, causing enteric fevers, gastroenteritis, and bacteremia. Food poisoning is the most common clinical manifestation. Organisms within this genus are separated on the basis of antigenic characteristics, sugar fermentation patterns, and bacteriophage susceptibility."
144,C0043405,yersinia,Yersinia <bacteria>,"A genus of gram-negative, facultatively anaerobic rod- to coccobacillus-shaped bacteria that occurs in a broad spectrum of habitats."
145,C0006813,campylobacter,Campylobacter,"A genus of bacteria found in the reproductive organs, intestinal tract, and oral cavity of animals and man. Some species are pathogenic."
146,C1029240,campylobacteraceae,Campylobacteraceae,"A taxonomic family of bacterium in the phylum Proteobacteria that includes the genera Arcobacter and Campylobacter, among others."
147,C1227458,campylobacterales,Campylobacterales,"Gram negative microaerophilic bacteria of the phylum PROTEOBACTERIA, class EPSILONPROTEOBACTERIA."
148,C0751990,epsilonproteobacteria,Epsilonproteobacteria,A group of proteobacteria consisting of chemoorganotrophs usually associated with the DIGESTIVE SYSTEM of humans and animals.
149,C0314975,bifidobacterium breve,Bifidobacterium breve,"A bacterial species in the family Bifidobacteriaceae. B. breve ferments alpha-l-fucose but does not ferment D-blucuronate, arabinogalactan, xylan, porcine gastric mucin, or gums. This bacteria is a normal part of the gut flora and is frequently used as a probiotic."
150,C0022940,lactobacillus casei,Lacticaseibacillus casei,"A species of facultatively anaerobic, Gram positive, rod shaped bacteria in the phylum Firmicutes. This species is nonmotile, heterofermentative, amylase positive and ferments mannitol. L. casei is non pathogenic and a commensal organism of the mouth and digestive tract."
151,C5469833,lacticaseibacillus,Lacticaseibacillus,"A genus of gram-positive, non-motile, homofermentative, oxidase negative, rod-shaped bacteria occurring widely in nature. Its species previously were referred to as Lactobacillus casei group. The genus harbors several species that are used as starter cultures in dairy fermentations and as probiotics."
152,C0085494,enterococcus,Enterococcus,"A genus of gram-positive, coccoid bacteria consisting of organisms causing variable hemolysis that are normal flora of the intestinal tract. Previously thought to be a member of the genus STREPTOCOCCUS, it is now recognized as a separate genus."
153,C1035041,enterococcaceae,Enterococcaceae,"A family of gram-positive bacteria in the order Lactobacillales, phylum Firmicutes."
154,C0009064,clostridium tetani,Clostridium tetani,"The cause of TETANUS in humans and domestic animals. It is a common inhabitant of human and horse intestines as well as soil. Two components make up its potent exotoxin activity, a neurotoxin and a hemolytic toxin."
155,C1008916,sutterella genus,Sutterella,"A genus of aerobic, Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria and the family Alicaligenaceae."
156,C3132275,sutterellaceae,Sutterellaceae,None
157,C1034478,burkholderiales,Burkholderiales,An order of gram-negative bacteria of the class BETAPROTEOBACTERIA which include highly pathogenic species such as BURKHOLDERIA; BORDETELLA; and RALSTONIA.
158,C0317558,faecalibacterium prausnitzii,Faecalibacterium prausnitzii,"A species of anaerobic, Gram positive, cocci shaped bacteria assigned to the phylum Firmicutes. This species is nonmotile, non-spore forming, indole negative, utilizes acetate, hydrolyzes esculin, ferments fructose, starch, and inulin, but not arabinose, melibiose, raffinose, rhamnose, ribose or xylose, does not produce hydrogen or reduce nitrate, but does produce copious amounts of butyrate. F. prausnitzii is a major commensal microbe in the human digestive tract and may be useful as a probiotic in individuals with Crohns disease, but can become pathogenic in other regions."
159,C0600414,ehec,Enterohemorrhagic Escherichia coli,Strains of ESCHERICHIA COLI that are a subgroup of SHIGA-TOXIGENIC ESCHERICHIA COLI. They cause non-bloody and bloody DIARRHEA; HEMOLYTIC UREMIC SYNDROME; and hemorrhagic COLITIS. An important member of this subgroup is ESCHERICHIA COLI O157-H7.
160,C0314858,anaerovibrio,Anaerovibrio,None
161,C4386157,selenomonadaceae,Selenomonadaceae,None
162,C3084167,selenomonadales,Selenomonadales,None
163,C0314924,thetaiotaomicron,Bacteroides thetaiotaomicron,"A species of anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotile, non-spore forming, produces indole, hydrolyzes esculin and starch, reduces resazurin, but not neutral red or nitrate, produces hydrogen sulfate, ferments both melezitose and cellobiose, and is penicillin resistant. B. thetaiotaomicron is found in the human intestinal tract."
164,C0314966,bacteroides caccae,Bacteroides caccae,"A species of anaerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotile, non-spore forming, catalase negative, resistant to penicillin, hydrolyzes esculin, indole negative and does not produce hydrogen sulfide. B. caccae is commensal and part of the normal human gastrointestinal tract flora, but may become pathogenic in other body regions."
165,C2662372,butyricicoccus,Butyricicoccus,None
166,C0314849,anaeroplasma,Anaeroplasma,None
167,C1210220,anaeroplasmataceae,Anaeroplasmataceae,None
168,C1265368,anaeroplasmatales,Anaeroplasmatales,None
169,C0018479,haemophilus,Hemophilus,"A genus of PASTEURELLACEAE that consists of several species occurring in animals and humans. Its organisms are described as gram-negative, facultatively anaerobic, coccobacillus or rod-shaped, and nonmotile."
170,C0030641,pasteurellaceae,Pasteurellaceae,"A family of coccoid to rod-shaped nonsporeforming, gram-negative, nonmotile, facultatively anaerobic bacteria that includes the genera ACTINOBACILLUS; HAEMOPHILUS; MANNHEIMIA; and PASTEURELLA."
171,C1065478,pasteurellales,Pasteurellales,None
172,C1629861,odoribacter,Genus Odoribacter,None
173,C4393898,odoribacteraceae,Odoribacteraceae,None
174,C0038172,staphylococcus aureus,Staphylococcus aureus,"Potentially pathogenic bacteria found in nasal membranes, skin, hair follicles, and perineum of warm-blooded animals. They may cause a wide range of infections and intoxications."
175,C1040695,staphylococcaceae,Staphylococcaceae,"A taxonomic family of Gram positive, facultatively anaerobic bacterium in the phylum Firmicutes that includes the genera Macrococcus, Staphylococcus and Jeotgalicoccus, among others."
176,C1456435,bacillales,Bacillales,"An order of gram-positive bacteria in the class Bacilli, phylum Firmicutes."
177,C0085492,plesiomonas,Plesiomonas,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria that occurs in fish and other aquatic animals and in a variety of mammals, including man. Its organisms probably do not belong to the normal intestinal flora of man and can cause diarrhea."
178,C0445813,methylobacterium,Methylobacterium,"A genus of gram-negative, aerobic, facultatively methylotrophic rods occurring singly or occasionally in rosettes. Members of this genus are usually motile and are isolated from soil, dust, fresh water, lake sediments, leaf surfaces, rice, air, and hospital environments. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
179,C1057045,methylobacteriaceae,Methylobacteriaceae,"A taxonomic family of bacterium, which perform nitrogen fixation, in the phylum Proteobacteria that includes the genera Methylobacterium and Meganema, among others."
180,C0001250,actinomyces,Actinomyces,"A genus of gram-positive, rod-shaped bacteria whose organisms are nonmotile. Filaments that may be present in certain species are either straight or wavy and may have swollen or clubbed heads."
181,C0001253,actinomycetaceae,Actinomycetaceae,A family of bacteria including numerous parasitic and pathogenic forms.
182,C0001254,actinomycetales,Actinomycetales,"An order of gram-positive, primarily aerobic BACTERIA that tend to form branching filaments."
183,C1487766,genus propionicimonas,Propionicimonas,None
184,C1037113,nocardioidaceae,Nocardioidaceae,None
