1,DISEASE,MESH ID,BACTERIA,NCBI ID,RELATION,METHOD,PMID
88,Epilepsy,D004827,Prevotella,838,Decrease,16S rRNA sequences,28970732
89,Epilepsy,D004827,Cronobacter,413496,Increase,16S rRNA sequences,28970732
90,Cardiovascular Diseases,D002318,Faecalibacterium,216851,Decrease,16S rRNA sequences,28954482
91,Cardiovascular Diseases,D002318,Prevotella,838,Increase,16S rRNA sequences,28954482
92,Cardiovascular Diseases,D002318,Clostridium,1485,Decrease,16S rRNA sequences,28954482
93,"Diabetes Mellitus, Type 2",D003924,Bifidobacterium,1678,Decrease,"16S rRNA sequences,qPCR",28912092
94,"Diabetes Mellitus, Type 2",D003924,Lactobacillus,1578,Increase,"16S rRNA sequences,qPCR",28912092
95,Thyroiditis,D013966,Bacteroides,816,Increase,16S rRNA sequences,28903182
96,Thyroiditis,D013966,Dialister,39948,Decrease,16S rRNA sequences,28903182
97,Thyroiditis,D013966,Parasutterella,577310,Increase,16S rRNA sequences,28903182
98,Crohn Disease,D003424,Bifidobacterium,1678,Decrease,16S rRNA sequences,28902124
99,Crohn Disease,D003424,Faecalibacterium,216851,Decrease,16S rRNA sequences,28902124
100,Crohn Disease,D003424,Oscillospira,119852,Increase,16S rRNA sequences,28902124
101,Crohn Disease,D003424,Dialister,39948,Decrease,16S rRNA sequences,28902124
102,Crohn Disease,D003424,Collinsella,102106,Decrease,16S rRNA sequences,28902124
103,Crohn Disease,D003424,Methanobrevibacter,2172,Increase,16S rRNA sequences,28902124
104,Helminthiasis,D006373,Bacteroides,816,Decrease,16S rRNA sequences,28892494
105,Helminthiasis,D006373,Akkermansia,239934,Increase,16S rRNA sequences,28892494
106,Helminthiasis,D006373,Lactococcus,1357,Increase,16S rRNA sequences,28892494
107,Attention Deficit Disorder with Hyperactivity,D001289,Bifidobacterium,1678,Increase,16S rRNA sequences,28863139
108,Attention Deficit Disorder with Hyperactivity,D001289,Eggerthella,84111,Increase,16S rRNA sequences,28863139
109,Non-alcoholic Fatty Liver Disease,D065626,Prevotella,838,Decrease,16S rDNA sequences,28823367
110,Dysentery,D004403,Escherichia,561,Increase,16S rRNA sequences,28767339
111,Dysentery,D004403,Actinomyces,1654,Increase,16S rRNA sequences,28767339
112,Colorectal Neoplasms,D015179,Prevotella,838,Increase,16S rRNA sequences,28600626
113,Colorectal Neoplasms,D015179,Parabacteroides,375288,Decrease,16S rRNA sequences,28600626
114,Colorectal Neoplasms,D015179,Fusobacterium,848,Increase,16S rRNA sequences,28600626
115,Colorectal Neoplasms,D015179,Acinetobacter,469,Decrease,16S rRNA sequences,28600626
116,Colorectal Neoplasms,D015179,Porphyromonas,836,Increase,16S rRNA sequences,28600626
117,Colorectal Neoplasms,D015179,Lactococcus,1357,Decrease,16S rRNA sequences,28600626
118,Colorectal Neoplasms,D015179,Pseudomonas,286,Decrease,16S rRNA sequences,28600626
119,Colorectal Neoplasms,D015179,Bacillus,1386,Decrease,16S rRNA sequences,28600626
120,Colorectal Neoplasms,D015179,Peptostreptococcus,1257,Increase,16S rRNA sequences,28600626
121,Colorectal Neoplasms,D015179,Parvimonas,543311,Increase,16S rRNA sequences,28600626
122,Colorectal Neoplasms,D015179,Alloprevotella,1283313,Increase,16S rRNA sequences,28600626
123,Parkinson Disease,D010300,Faecalibacterium,216851,Decrease,16S rRNA sequences,28536926
124,Parkinson Disease,D010300,Ruminococcus,1263,Decrease,16S rRNA sequences,28536926
125,Parkinson Disease,D010300,Blautia,572511,Decrease,16S rRNA sequences,28536926
126,Parkinson Disease,D010300,Enterococcus,1350,Increase,16S rRNA sequences,28536926
127,Parkinson Disease,D010300,Streptococcus,1301,Increase,16S rRNA sequences,28536926
128,Parkinson Disease,D010300,Acinetobacter,469,Increase,16S rRNA sequences,28536926
129,Parkinson Disease,D010300,Megasphaera,906,Increase,16S rRNA sequences,28536926
130,Parkinson Disease,D010300,Megamonas,158846,Increase,16S rRNA sequences,28536926
131,Parkinson Disease,D010300,Acidaminococcus,904,Increase,16S rRNA sequences,28536926
132,Parkinson Disease,D010300,Proteus,583,Increase,16S rRNA sequences,28536926
133,Osteoarthritis,D010003,Leptotrichia,32067,Decrease,16S rRNA sequences,29985401
134,Hypersensitivity,D006967,Leptotrichia,32067,Decrease,16S rRNA sequences,29985401
135,Colorectal Neoplasms,D015179,Lactobacillus,1578,Increase,16S rDNA sequences,22622349
136,Colorectal Neoplasms,D015179,Streptococcus,1301,Decrease,16S rDNA sequences,22622349
137,Colorectal Neoplasms,D015179,Lactococcus,1357,Increase,16S rDNA sequences,22622349
138,Colorectal Neoplasms,D015179,Pseudomonas,286,Increase,16S rDNA sequences,22622349
139,Colorectal Neoplasms,D015179,Helicobacter,209,Increase,16S rDNA sequences,22622349
140,Colorectal Neoplasms,D015179,Acidovorax,12916,Increase,16S rDNA sequences,22622349
141,Colorectal Neoplasms,D015179,Aquabacterium,92793,Increase,16S rDNA sequences,22622349
142,Colorectal Neoplasms,D015179,Cloacibacterium,501783,Increase,16S rDNA sequences,22622349
143,Liver Cirrhosis,D008103,Enterococcus,1350,Increase,16S rRNA sequences,22484797
144,Irritable Bowel Syndrome,D043183,Faecalibacterium,216851,Decrease,"16S rRNA sequences,qPCR",22339879
145,Irritable Bowel Syndrome,D043183,Bifidobacterium,1678,Decrease,16S rDNA sequences,22315951
146,Irritable Bowel Syndrome,D043183,Lactobacillus,1578,Decrease,16S rDNA sequences,22315951
147,Crohn Disease,D003424,Bifidobacterium,1678,Increase,16S rRNA sequences,22102318
148,Hypersensitivity,D006967,Bacteroides,816,Increase,16S rRNA sequences,22029688
149,Hypersensitivity,D006967,Clostridium,1485,Decrease,16S rRNA sequences,22029688
150,Hypersensitivity,D006967,Acinetobacter,469,Decrease,16S rRNA sequences,22029688
151,Hypersensitivity,D006967,Klebsiella,570,Increase,16S rRNA sequences,22029688
152,Hypersensitivity,D006967,Propionibacterium,1743,Increase,16S rRNA sequences,22029688
153,Crohn Disease,D003424,Bifidobacterium,1678,Increase,16S rRNA sequences,21910165
154,Irritable Bowel Syndrome,D043183,Bifidobacterium,1678,Decrease,"16S rRNA sequences,qPCR",21330412
155,"Hepatitis B, Chronic",D019694,Bifidobacterium,1678,Decrease,"16S rRNA sequences,qPCR",21286703
156,"Hepatitis B, Chronic",D019694,Clostridium,1485,Decrease,"16S rRNA sequences,qPCR",21286703
157,"Colitis, Ulcerative",D003093,Clostridium,1485,Decrease,16S rRNA sequences,21253779
158,Crohn Disease,D003424,Bacteroides,816,Increase,16S rRNA sequences,21253779
159,Crohn Disease,D003424,Clostridium,1485,Decrease,16S rRNA sequences,21253779
160,Cholecystitis,D002764,Helicobacter,209,Increase,16S rDNA sequences,20939110
161,"Diabetes Mellitus, Type 2",D003924,Bifidobacterium,1678,Decrease,16S rRNA sequences,20087741
162,Inflammatory Bowel Diseases,D015212,Bifidobacterium,1678,Decrease,16S rRNA sequences,19235886
163,Gastroenteritis,D005759,Bifidobacterium,1678,Decrease,16S rRNA sequences,19235886
164,Obesity,D009765,Lachnospira,28050,Decrease,"16S rRNA sequences,qPCR",19164560
165,Familial Mediterranean Fever,D010505,Ruminococcus,1263,Increase,16S rRNA sequences,18725973
166,Familial Mediterranean Fever,D010505,Roseburia,841,Decrease,16S rRNA sequences,18725973
167,Familial Mediterranean Fever,D010505,Megasphaera,906,Increase,16S rRNA sequences,18725973
168,Familial Mediterranean Fever,D010505,Faecalibacterium,216851,Increase,16S rRNA sequences,18725973
169,Familial Mediterranean Fever,D010505,Prevotella,838,Decrease,16S rRNA sequences,18725973
170,Familial Mediterranean Fever,D010505,Parabacteroides,375288,Increase,16S rRNA sequences,18725973
171,Familial Mediterranean Fever,D010505,Dialister,39948,Decrease,16S rRNA sequences,18725973
172,Familial Mediterranean Fever,D010505,Phascolarctobacterium,33024,Increase,16S rRNA sequences,18725973
173,"Colitis, Microscopic",D046728,Desulfovibrio,872,Increase,16S rRNA sequences,30324555
174,Blastocystis Infections,D016776,Faecalibacterium,216851,Increase,"16S rRNA sequences,qPCR",27147260
175,Blastocystis Infections,D016776,Prevotella,838,Increase,"16S rRNA sequences,qPCR",27147260
176,Blastocystis Infections,D016776,Ruminococcus,1263,Increase,"16S rRNA sequences,qPCR",27147260
177,Blastocystis Infections,D016776,Roseburia,841,Increase,"16S rRNA sequences,qPCR",27147260
178,Blastocystis Infections,D016776,Coprococcus,33042,Increase,"16S rRNA sequences,qPCR",27147260
179,Blastocystis Infections,D016776,Oscillibacter,459786,Increase,"16S rRNA sequences,qPCR",27147260
180,Blastocystis Infections,D016776,Acetanaerobacterium,258514,Increase,"16S rRNA sequences,qPCR",27147260
181,Blastocystis Infections,D016776,Acetivibrio,35829,Increase,"16S rRNA sequences,qPCR",27147260
182,Blastocystis Infections,D016776,Hespellia,241189,Increase,"16S rRNA sequences,qPCR",27147260
183,Blastocystis Infections,D016776,Papillibacter,100175,Increase,"16S rRNA sequences,qPCR",27147260
184,Blastocystis Infections,D016776,Sporobacter,44748,Increase,"16S rRNA sequences,qPCR",27147260
185,"Diabetes Mellitus, Type 2",D003924,Bifidobacterium,1678,Decrease,16S rRNA sequences,27151248
186,"Diabetes Mellitus, Type 2",D003924,Bacteroides,816,Decrease,16S rRNA sequences,27151248
187,"Diabetes Mellitus, Type 2",D003924,Faecalibacterium,216851,Decrease,16S rRNA sequences,27151248
188,"Diabetes Mellitus, Type 2",D003924,Ruminococcus,1263,Increase,16S rRNA sequences,27151248
189,"Diabetes Mellitus, Type 2",D003924,Lactobacillus,1578,Increase,16S rRNA sequences,27151248
190,"Diabetes Mellitus, Type 2",D003924,Lachnospira,28050,Decrease,16S rRNA sequences,27151248
191,"Diabetes Mellitus, Type 2",D003924,Oscillospira,119852,Decrease,16S rRNA sequences,27151248
192,"Diabetes Mellitus, Type 2",D003924,Collinsella,102106,Increase,16S rRNA sequences,27151248
193,Clostridium Infections,D003015,Bacteroides,816,Decrease,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
194,Clostridium Infections,D003015,Lachnospira,28050,Decrease,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
195,Clostridium Infections,D003015,Oscillospira,119852,Decrease,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
196,Clostridium Infections,D003015,Alistipes,239759,Decrease,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
197,Clostridium Infections,D003015,Klebsiella,570,Increase,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
198,Clostridium Infections,D003015,Collinsella,102106,Decrease,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
199,Clostridium Infections,D003015,Butyricimonas,574697,Decrease,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
200,Clostridium Infections,D003015,Subdoligranulum,292632,Decrease,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
201,Clostridium Infections,D003015,Anaerotruncus,244127,Decrease,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
202,Clostridium Infections,D003015,Barnesiella,397864,Decrease,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27166072
203,Colorectal Neoplasms,D015179,Fusobacterium,848,Increase,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27171425
204,Colorectal Neoplasms,D015179,Porphyromonas,836,Increase,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27171425
205,Colorectal Neoplasms,D015179,Atopobium,1380,Increase,"16S rRNA sequences,quantitative metagenomics by shotgun sequencing",27171425
206,Multiple Sclerosis,D009103,Desulfovibrio,872,Increase,16S rRNA sequences,27176462
207,Multiple Sclerosis,D009103,Bilophila,35832,Increase,16S rRNA sequences,27176462
208,Colorectal Neoplasms,D015179,Enterococcus,1350,Decrease,16S rRNA sequences,27194068
209,Colorectal Neoplasms,D015179,Lactococcus,1357,Decrease,16S rRNA sequences,27194068
210,Colorectal Neoplasms,D015179,Pseudomonas,286,Decrease,16S rRNA sequences,27194068
211,Colorectal Neoplasms,D015179,Bacillus,1386,Decrease,16S rRNA sequences,27194068
212,Colorectal Neoplasms,D015179,Solibacillus,648800,Decrease,16S rRNA sequences,27194068
213,"Cholangitis, Sclerosing",D015209,Lactobacillus,1578,Increase,16S rRNA sequences,27207975
214,"Cholangitis, Sclerosing",D015209,Enterococcus,1350,Increase,16S rRNA sequences,27207975
215,"Cholangitis, Sclerosing",D015209,Streptococcus,1301,Increase,16S rRNA sequences,27207975
216,"Cholangitis, Sclerosing",D015209,Fusobacterium,848,Increase,16S rRNA sequences,27207975
217,"Cholangitis, Sclerosing",D015209,Anaerostipes,207244,Decrease,16S rRNA sequences,27207975
218,"Cholangitis, Sclerosing",D015209,Morganella,90690,Increase,16S rRNA sequences,27207975
219,"Colitis, Ulcerative",D003093,Roseburia,841,Decrease,16S rRNA sequences,27217061
220,"Colitis, Ulcerative",D003093,Akkermansia,239934,Decrease,16S rRNA sequences,27217061
221,"Colitis, Ulcerative",D003093,Haemophilus,724,Increase,16S rRNA sequences,27217061
222,"Colitis, Ulcerative",D003093,Phenylobacterium,20,Increase,16S rRNA sequences,27217061
223,"Diabetes Mellitus, Type 1",D003922,Blautia,572511,Increase,16S rRNA sequences,27231166
224,"Diabetes Mellitus, Type 1",D003922,Lachnospira,28050,Decrease,16S rRNA sequences,27231166
225,"Diabetes Mellitus, Type 1",D003922,Dialister,39948,Decrease,16S rRNA sequences,27231166
226,"Diabetes Mellitus, Type 1",D003922,Haemophilus,724,Decrease,16S rRNA sequences,27231166
227,"Diabetes Mellitus, Type 1",D003922,Acidaminococcus,904,Decrease,16S rRNA sequences,27231166
228,"Diabetes Mellitus, Type 1",D003922,Intestinimonas,1392389,Decrease,16S rRNA sequences,27231166
229,"Diabetes Mellitus, Type 1",D003922,Roseburia,841,Decrease,16S rDNA sequences,30121305
230,"Diabetes Mellitus, Type 1",D003922,Escherichia,561,Increase,16S rDNA sequences,30121305
231,"Diabetes Mellitus, Type 1",D003922,Eubacterium,1730,Decrease,16S rDNA sequences,30121305
232,Hepatolenticular Degeneration,D006527,Bacteroides,816,Increase,16S rRNA sequences,30075590
233,Hepatolenticular Degeneration,D006527,Faecalibacterium,216851,Increase,16S rRNA sequences,30075590
234,Hepatolenticular Degeneration,D006527,Prevotella,838,Decrease,16S rRNA sequences,30075590
235,Hepatolenticular Degeneration,D006527,Roseburia,841,Decrease,16S rRNA sequences,30075590
236,Hepatolenticular Degeneration,D006527,Lachnospira,28050,Increase,16S rRNA sequences,30075590
237,Hepatolenticular Degeneration,D006527,Phascolarctobacterium,33024,Decrease,16S rRNA sequences,30075590
238,Hepatolenticular Degeneration,D006527,Megamonas,158846,Increase,16S rRNA sequences,30075590
239,Attention Deficit Disorder with Hyperactivity,D001289,Prevotella,838,Decrease,16S rRNA sequences,30001426
240,Attention Deficit Disorder with Hyperactivity,D001289,Parabacteroides,375288,Decrease,16S rRNA sequences,30001426
241,Attention Deficit Disorder with Hyperactivity,D001289,Neisseria,482,Increase,16S rRNA sequences,30001426
242,Metabolic Syndrome,D024821,Bifidobacterium,1678,Increase,16S rRNA sequences,29998997
243,Metabolic Syndrome,D024821,Ruminococcus,1263,Decrease,16S rRNA sequences,29998997
244,Metabolic Syndrome,D024821,Lactobacillus,1578,Increase,16S rRNA sequences,29998997
245,Metabolic Syndrome,D024821,Coprococcus,33042,Decrease,16S rRNA sequences,29998997
246,Metabolic Syndrome,D024821,Megasphaera,906,Increase,16S rRNA sequences,29998997
247,Metabolic Syndrome,D024821,Anaerostipes,207244,Decrease,16S rRNA sequences,29998997
248,Metabolic Syndrome,D024821,Turicibacter,191303,Decrease,16S rRNA sequences,29998997
249,"Hepatitis, Autoimmune",D019693,Streptococcus,1301,Decrease,16S rDNA sequences,29969462
250,"Hepatitis, Autoimmune",D019693,Fusobacterium,848,Decrease,16S rDNA sequences,29969462
251,"Hepatitis, Autoimmune",D019693,Eubacterium,1730,Increase,16S rDNA sequences,29969462
252,Non-alcoholic Fatty Liver Disease,D065626,Clostridium,1485,Increase,16S rDNA sequences,29948900
253,Non-alcoholic Fatty Liver Disease,D065626,Blautia,572511,Increase,16S rDNA sequences,29948900
254,Non-alcoholic Fatty Liver Disease,D065626,Coprococcus,33042,Decrease,16S rDNA sequences,29948900
255,Non-alcoholic Fatty Liver Disease,D065626,Dorea,189330,Increase,16S rDNA sequences,29948900
256,Non-alcoholic Fatty Liver Disease,D065626,Odoribacter,283168,Decrease,16S rDNA sequences,29948900
257,Non-alcoholic Fatty Liver Disease,D065626,Porphyromonas,836,Increase,16S rDNA sequences,29948900
258,Non-alcoholic Fatty Liver Disease,D065626,Slackia,84108,Increase,16S rDNA sequences,29948900
259,Non-alcoholic Fatty Liver Disease,D065626,Peptococcus,2740,Increase,16S rDNA sequences,29948900
260,Non-alcoholic Fatty Liver Disease,D065626,Mitsuokella,52225,Increase,16S rDNA sequences,29948900
261,Non-alcoholic Fatty Liver Disease,D065626,Succinivibrio,83770,Increase,16S rDNA sequences,29948900
262,Non-alcoholic Fatty Liver Disease,D065626,Proteus,583,Decrease,16S rDNA sequences,29948900
263,Keratitis,D007634,Lachnospira,28050,Decrease,16S rRNA sequences,29933394
264,Keratitis,D007634,Dorea,189330,Increase,16S rRNA sequences,29933394
265,Keratitis,D007634,Megasphaera,906,Decrease,16S rRNA sequences,29933394
266,Keratitis,D007634,Treponema,157,Increase,16S rRNA sequences,29933394
267,"Colitis, Ulcerative",D003093,Parabacteroides,375288,Increase,"16S rRNA sequences,qPCR",29796862
268,"Colitis, Ulcerative",D003093,Pseudomonas,286,Increase,"16S rRNA sequences,qPCR",29796862
269,"Colitis, Ulcerative",D003093,Stenotrophomonas,40323,Increase,"16S rRNA sequences,qPCR",29796862
270,"Colitis, Ulcerative",D003093,Achromobacter,222,Increase,"16S rRNA sequences,qPCR",29796862
271,"Colitis, Ulcerative",D003093,Elizabethkingia,308865,Increase,"16S rRNA sequences,qPCR",29796862
272,"Colitis, Ulcerative",D003093,Micrococcus,1269,Increase,"16S rRNA sequences,qPCR",29796862
273,"Colitis, Ulcerative",D003093,Ochrobactrum,528,Increase,"16S rRNA sequences,qPCR",29796862
274,Irritable Bowel Syndrome,D043183,Faecalibacterium,216851,Decrease,16S rRNA sequences,29777439
275,Irritable Bowel Syndrome,D043183,Dorea,189330,Increase,16S rRNA sequences,29777439
276,"Diabetes, Gestational",D016640,Collinsella,102106,Increase,16S rRNA sequences,29764499
277,"Diabetes, Gestational",D016640,Desulfovibrio,872,Increase,16S rRNA sequences,29764499
278,"Diabetes, Gestational",D016640,Rothia,32207,Increase,16S rRNA sequences,29764499
279,"Diabetes Mellitus, Type 1",D003922,Phascolarctobacterium,33024,Decrease,16S rRNA sequences,29733871
280,Nephrolithiasis,D053040,Bacteroides,816,Increase,16S rRNA sequences,29705728
281,Nephrolithiasis,D053040,Enterococcus,1350,Decrease,16S rRNA sequences,29705728
282,Nephrolithiasis,D053040,Klebsiella,570,Decrease,16S rRNA sequences,29705728
283,Nephrolithiasis,D053040,Acidaminococcus,904,Increase,16S rRNA sequences,29705728
284,Nephrolithiasis,D053040,Enterobacter,547,Decrease,16S rRNA sequences,29705728
285,Nephrolithiasis,D053040,Rothia,32207,Decrease,16S rRNA sequences,29705728
286,Nephrolithiasis,D053040,Ruminiclostridium,1508657,Decrease,16S rRNA sequences,29705728
287,Nephrolithiasis,D053040,Enterorhabdus,580024,Decrease,16S rRNA sequences,29705728
288,Nephrolithiasis,D053040,Oribacterium,265975,Decrease,16S rRNA sequences,29705728
289,Nephrolithiasis,D053040,Cellulosimicrobium,157920,Increase,16S rRNA sequences,29705728
290,Non-alcoholic Fatty Liver Disease,D065626,Bacteroides,816,Increase,16S rRNA sequences,29682571
291,Non-alcoholic Fatty Liver Disease,D065626,Faecalibacterium,216851,Decrease,16S rRNA sequences,29682571
292,Non-alcoholic Fatty Liver Disease,D065626,Prevotella,838,Increase,16S rRNA sequences,29682571
293,Non-alcoholic Fatty Liver Disease,D065626,Ruminococcus,1263,Decrease,16S rRNA sequences,29682571
294,Non-alcoholic Fatty Liver Disease,D065626,Roseburia,841,Decrease,16S rRNA sequences,29682571
295,Non-alcoholic Fatty Liver Disease,D065626,Blautia,572511,Decrease,16S rRNA sequences,29682571
296,Non-alcoholic Fatty Liver Disease,D065626,Parabacteroides,375288,Increase,16S rRNA sequences,29682571
