,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
1056,Stenotrophomonas maltophilia,Clostridium botulinum,"Accordingly, Acinetobacter baumannii, Clostridium botulinum, Escherichia coli, Pseudomonas aeruginosa, Ralstonia pickettii, Salmonella enterica, Stenotrophomonas maltophilia, Aspergillus ostianus, A. sydowii, Penicillium citrinum, and P. steckii have been detected.",na,What is the relationship between Stenotrophomonas maltophilia and Clostridium botulinum?,
939,Fusobacterium,colorectal carcinoma,"Hence, pathological and tumor molecular features of colorectal carcinoma may be present downstream in the causal sequence of events after the Fusobacterium variable, and adjusting for the tumor pathological and molecular features might cause biased results.",na,What is the relationship between Fusobacterium and colorectal carcinoma?,
851,Bacteroides fragilis,CHD-NAFLD,"The abundance of Bacteroides fragilis and Sutterella wadsworthensis was also the lowest in CHD-NAFLD patients (the abundance of Bacteroides fragilis in CHD-NAFLD, CHD, HCs: 0.13732, 0.7190, 0.4431; the abundance of Sutterella wadsworthensis in CHD-NAFLD, CHD, HCs: 0.1305, 0.1496, 0.2934).",negative,What is the relationship between Bacteroides fragilis and CHD-NAFLD?,
288,Prevotella intermedia,periodontitis,"For example, Aggregatibacter actinomycetemcomitans, Porphyromonas gingivalis, Tannerella forsythia, Treponema denticola, Fusobacterium nucleatum, and Prevotella intermedia have traditionally been considered pathogenic bacteria contributing to periodontitis [5, 12, 13].",positive,What is the relationship between Prevotella intermedia and periodontitis?,
576,Fusobacterium,CRC,"Although there is increasing evidence that Fusobacterium is involved in CRC cases, it was detected in less than half of adenomas, which suggests that other bacterial populations are capable of potentiating tumorigenesis [2].",relate,What is the relationship between Fusobacterium and CRC?,
302,Escherichia,CD,"Faecalibacterium, an unknown genus of Peptostreptococcaceae, Anaerostipes, Methanobrevibacter and an unknown genus of Christensenellaceae were abundant in HC and UC and absent or almost absent in CD ones, while Fusobacterium and Escherichia were abundant in patients with CD and almost absent in HC and UC.",positive,What is the relationship between Escherichia and CD?,
118,Bacteroides vulgatus,cancer,"Through epithelial injury and inflammation, chronic infections (viruses, Helicobacter pylori and other Helicobacter spp., Bacteroides fragilis, Bacteroides vulgatus, Escherichia coli, Citrobacter rodentium, Citrobacter freundii, and protozoa) are linked to carcinogenesis with approximately 18% of the worldwide cancer burden.",relate,What is the relationship between Bacteroides vulgatus and cancer?,
12,Dysgonomonas wimpennyi,periodontitis,"In periodontitis patients, four genera (Dysgonomonas, Paenibacillus, Mycoplasma, and Campylobacter) and five species (Porphyromonas endodontalis, Dysgonomonas wimpennyi, P. canis, Campylobacter gracilis, and Leptotrichia buccalis) were higher, and only one species (P. melaninogenica) was lower in the C+P+ group compared to the C?P+ group (Figures 3 and 4).",positive,What is the relationship between Dysgonomonas wimpennyi and periodontitis?,
157,Mycoplasma pneumoniae,HIV-infected,"We next examined the cohort for detection of seven of the most common bacterial pulmonary pathogens detected in HIV-infected patients: Pseudomonas aeruginosa, Haemophilus influenzae, Staphylococcus aureus, Chlamydophila pneumoniae, Mycoplasma pneumoniae, Streptococcus pneumoniae and Legionella pneumophila were detected in 49, 10, 1, 0, 0, 0 and 0 of the subjects, respectively.",positive,What is the relationship between Mycoplasma pneumoniae and HIV-infected?,
337,Clostridium,attenuate colitis,"Bacteria belonging to Clostridium clusters XIVa, XVIII and IV, which lack virulence factors and prominent toxins, were found to modulate host fatty acid metabolism, induce Treg cell activity and attenuate colitis [38].",negative,What is the relationship between Clostridium and attenuate colitis?,
789,E. faecalis,liver cirrhosis,E. faecalis has also been associated with liver cirrhosis.,positive,What is the relationship between E. faecalis and liver cirrhosis?,
127,Lactobacillus acidophilus,diabetes,"Yadav et al.showed that a probiotic dahi-supplemented diet, containing Lactobacillus acidophilus and Lactobacillus casei, significantly delayed the onset of glucose intolerance, hyperglycemia, hyperinsulinemia, dyslipidemia, and oxidative stress in high fructose-fed diabetic rats, thus lowering the risk of diabetes and its complications [65].",negative,What is the relationship between Lactobacillus acidophilus and diabetes?,
46,Faecalibacterium prausnitzii,ESRD,"Based on the sequencing data, Roseburia spp., Faecalibacterium prausnitzii and Prevotella which are typical butyrate producing bacteria were decreased in ESRD patients, so we chose it.",negative,What is the relationship between Faecalibacterium prausnitzii and ESRD?,
235,Clostridium difficile,irritable bowel syndrome,"Clostridium XI are short-chain fatty acid (SCFA)-producing bacteria, including Clostridium difficile, Clostridium litorale, and Clostridium lituseburense, which have been reported to be increased in irritable bowel syndrome patients [29].",positive,What is the relationship between Clostridium difficile and irritable bowel syndrome?,
630,Escherichia coli,IBD,"In particular, different microorganisms belonging to Proteobacteria, such as Campylobacter, enterohepatic Helicobacter and Escherichia coli are often associated with the pathogenesis of inflammatory bowel disease (IBD), being able to negatively influence the immune system and enhance intestinal inflammation[26].",positive,What is the relationship between Escherichia coli and IBD?,
625,Clostridium_Q,colorectal cancer,"Clostridium_Q is a member of the family Lachnospiraceae described recently in a reassessment of bacterial taxonomy (Parks et al., 2018) and includes the species Clostridium symbiosum, an important biomarker associated with colorectal cancer progression (Xie et al., 2017; Thomas et al., 2019).",relate,What is the relationship between Clostridium_Q and colorectal cancer?,
241,Lactobacillus casei,colitis,"In similar studies, engineered bacteria, such as Lactobacillus casei, Lactococcus plantarum, and Streptococcus gordonii, have been used to deliver various molecules to treat colitis in animal models of IBD.",negative,What is the relationship between Lactobacillus casei and colitis?,
462,Fusobacterium nucleatum,periodontitis,"The marked over-representation of Fusobacterium nucleatum sequences in CRC tumors relative to control specimens was a striking discovery: Fusobacteria are rare constituents of the fecal microbiota, but had been cultured previously from biopsies of inflamed gut mucosa [21, 38], and F. nucleatum in particular is an invasive anaerobe that had been linked previously to periodontitis and appendicitis, but not to cancer.",positive,What is the relationship between Fusobacterium nucleatum and periodontitis?,
682,Roseburia intestinalis,ulcerative colitis,"In patients with ulcerative colitis, depletion of both Faecalibacterium prausnitzii and Roseburia intestinalis has been proposed to be the hallmark of dysbiosis (44).",negative,What is the relationship between Roseburia intestinalis and ulcerative colitis?,
402,Clostridium,Epithelial precursor lesion,"Furthermore, nine bacteria, Alistipes, Bacteroides, Blautia, Clostridium, Dorea, Escherichia, Faecalibacterium, Megamonas, and Phascolarctobacterium, displayed positive correlations with each other in the Epithelial precursor lesion and Cancer groups.Figure 4Network analysis of salivary microbiota using SparCC correlation coefficients (Normal group).",positive,What is the relationship between Clostridium and Epithelial precursor lesion?,
161,Bacteroides fragilis,inflammatory bowel disease,"For example, the colonization of intestinal commensal Bacteroides fragilis protects mice from developing experimental inflammatory bowel disease via TLR2 (Round and Mazmanian, 2010).",negative,What is the relationship between Bacteroides fragilis and inflammatory bowel disease?,
494,Faecalibacterium prausnitzii,cardiovascular diseases,"Choline is synthesized by Faecalibacterium prausnitzii and Bifidobacterium species and has a key role in lipid metabolism, and is implicated in liver and cardiovascular diseases (Wang et al., 2011).",relate,What is the relationship between Faecalibacterium prausnitzii and cardiovascular diseases?,
439,Bifidobacterium breve,eczema,"In this context, it has been shown that babies that were colonized with Bifidobacterium breve during the early post-natal period (1 week and 3 months) displayed a reduced risk of developing eczema in the first year of life [66].",negative,What is the relationship between Bifidobacterium breve and eczema?,
177,Fusobacterium nucleatum,atherosclerotic plaque lesions,"In fact, infection of ApoE null hyperlipidemic mice with four established periodontal pathogens?Porphyromonas gingivalis, Treponema denticola, Tannerella forsythia, and Fusobacterium nucleatum, led to elevations of serum inflammatory markers and progression of atherosclerotic plaque lesions [16].",positive,What is the relationship between Fusobacterium nucleatum and atherosclerotic plaque lesions?,
988,Clostridium,colitis,"For example, induction of a transforming growth factor- (TGF-) ?-rich environment by indigenous Clostridium species enhances regulatory T cell (Treg) numbers and function in the colon and the resistance to DSS-induced murine colitis [32, 35].",na,What is the relationship between Clostridium and colitis?,
853,Bacillus clausii,paediatric diarrhoea,Studies with Bacillus clausii did not assay for normal microbiota and had non-significant trial results for H. pylori eradication and the treatment of paediatric diarrhoea.,na,What is the relationship between Bacillus clausii and paediatric diarrhoea?,
424,Lactobacillus helveticus,alcohol pancreatitis-related liver damage,"In another study, a combination treatment using Lactobacillus acidophilus, Lactobacillus helveticus, and Bifidobacterium in rats with alcohol pancreatitis-related liver damage effectively protected against endotoxin/bacterial translocation, as well as liver damage in the course of acute pancreatitis and concomitant heavy alcohol consumption.",negative,What is the relationship between Lactobacillus helveticus and alcohol pancreatitis-related liver damage?,
325,Prevotella intermedia,Periodontal disease-associated,"Periodontal disease-associated species, Porphyromonas gingivalis, Tannerella forsythia and Prevotella intermedia, were correlated with a risk of GI cancer regardless of cancer type.",relate,What is the relationship between Prevotella intermedia and Periodontal disease-associated?,
131,Porphyromonas gingivalis,Alzheimer?s disease,"In Alzheimer?s disease, inhibitors of the gingipains proteases secreted by Porphyromonas gingivalis were able to reduce infection by this species in the brain as well as amyloid-? production and neuroinflammation.",negative,What is the relationship between Porphyromonas gingivalis and Alzheimer?s disease?,
1029,EAEC,diarrhea,"It is worth noting, however, that the association between bacterial pathogens and RV1 response was contingent on the exclusion of EAEC, which we omitted from primary comparisons because of its high prevalence and limited association with diarrhea during previous studies in resource-poor settings using TACs.",na,What is the relationship between EAEC and diarrhea?,
350,Lactobacillus rhamnosus,UC,"Previous studies have shown that Lactobacillus bulgaricus can reduce colitis, and Lactobacillus rhamnosus can effectively maintain UC remission[16].",negative,What is the relationship between Lactobacillus rhamnosus and UC?,
447,Bifidobacterium longum,colorectal cancer,"In colorectal cancer patients, treatment with Lactobacillus acidophilus, Bifidobacterium longum, and Enterococcus faecalis decreased the abundance of pathogenic Fusobacterium, the prevalence of which is associated with both IBD and colorectal cancer.",negative,What is the relationship between Bifidobacterium longum and colorectal cancer?,
501,Streptococcus,cancer,"Interestingly, strong co-occurrence interactions formed by Streptococcus, Peptostreptococcus, Fusobacterium, Dialister, and Prevotella, showed the centralities of these taxa in the whole cancer group network.",relate,What is the relationship between Streptococcus and cancer?,
17,AIEC,chronic inflammation,"To this aim, we have carried out experiments testing the ability of 6-MP to inhibit epithelial cell adhesion and invasion by the AIEC strain LF82, important pathogenic processes directly involved in the onset of chronic inflammation in CD (Eaves-Pyles et al., 2008).",positive,What is the relationship between AIEC and chronic inflammation?,
1053,Citrobacter freundii,atrophic gastritis,"False-positive results were observed in case of adult patients with acid-free stomach, caused by atrophic gastritis or a long-term use of PPIs, where urease-positive bacterial species such as Proteus mirabilis, Citrobacter freundii, Klebsiella pneumoniae, Staphylococcus aureus, and Enterobacter cloacae were cultured.",na,What is the relationship between Citrobacter freundii and atrophic gastritis?,
186,Streptococcus salivarius,inflammation,"Furthermore, a recent animal experiment demonstrated that INS-GAS mice co-infected with Hp and Streptococcus salivarius developed more severe inflammation, hyperplasia, and dysplasia in the stomach when compared with Hp only at 5 months post-infection.",positive,What is the relationship between Streptococcus salivarius and inflammation?,
629,Streptococcus,AD,Outgrowths of Staphylococcus and reductions of other communities like Streptococcus or Propionibacterium species correlate with AD flares.,negative,What is the relationship between Streptococcus and AD?,
338,Clostridium,ASD,"We also observed that Clostridium clostridioforme, affiliated to Clostridium genera, was higher in the ASD group than in healthy children.",positive,What is the relationship between Clostridium and ASD?,
206,Gemella haemolysans,tumor,"The unnamed cultivable taxon, Streptococcus sp. oral taxon 058, and named cultivable bacterial species, Gemella haemolysans, Gemella morbillorum, Gemella sanguinis, Johnsonella ignava, Peptostreptococcus stomatis, Streptococcus gordonii, Streptococcus parasanguinis I, Streptococcus salivarius were highly associated to tumor site.",relate,What is the relationship between Gemella haemolysans and tumor?,
546,Porphyromonas,halitosis,"For instance, saccharolytic (sugar metabolizing) bacteria, such as Streptococcus and Lactobacillus, have been associated with dental caries, while proteolytic (protein metabolizing) bacteria, such as Prevotella and Porphyromonas, have been associated with periodontitis and halitosis (40).",positive,What is the relationship between Porphyromonas and halitosis?,
1022,Bacteroides thetaiotaomicron,tumor,"Furthermore, at the species level, we also found that Alistipes shahii (Figure 6G), Akkermansia muciniphila (Figure 6H), Bacteroides thetaiotaomicron (Figure 6I), Bacteroides acidifaciens and Lactobacillus johnsonii (Figure S5) were increased in EcN-respond mice compared with tumor bearing controls.",na,What is the relationship between Bacteroides thetaiotaomicron and tumor?,
345,Clostridium difficile,severe gastrointestinal infections,"The high abundance of Bifidobacterium species in infants is considered to promote the maturation of the healthy immune system, while high presence of Clostridium difficile is considered as one of the major intra-hospital hazards of severe gastrointestinal infections during infancy [55].",positive,What is the relationship between Clostridium difficile and severe gastrointestinal infections?,
654,Staphylococcus aureus,MS,"Another hypothesis emerging from animal models suggests that bacterial superantigens (e.g., Staphylococcus aureus enterotoxins A, B, C, D, and E) activate auto-reactive T cells, which then promotes the onset of immune diseases like MS (Brocke et al., 1993).",positive,What is the relationship between Staphylococcus aureus and MS?,
313,Akkermansia muciniphila,tumor,"Administration of Akkermansia muciniphila, alone or in combination with Enterococcus hirae, restored response to anti-PD1 therapy in melanoma or sarcoma-bearing mice with depleted gut microbiota, as demonstrated by reduced tumor size.",negative,What is the relationship between Akkermansia muciniphila and tumor?,
242,Porphyromonas gingivalis,chronic inflammatory oral disease,"The periodontitis (PD)-associated bacteria are widely studied and Porphyromonas gingivalis, Tannerella forsythia, and Treponema denticola are the species most frequently associated with this chronic inflammatory oral disease [48, 49].",positive,What is the relationship between Porphyromonas gingivalis and chronic inflammatory oral disease?,
545,Porphyromonas gingivalis,periodontitis,"The species of the ?red complex? (Porphyromonas gingivalis, Treponema denticola, and Tannerella forsythia) have historically been seen as the primary infective organisms implicated in periodontitis [137], but this was determined by culture-based studies, which thus missed much of the bacterial diversity present in samples.",positive,What is the relationship between Porphyromonas gingivalis and periodontitis?,
451,Staphylococcus epidermidis,cutaneous infection,"Similarly, a product of Staphylococcus epidermidis enhances protection from cutaneous infection via increased expression of antimicrobial peptides.",negative,What is the relationship between Staphylococcus epidermidis and cutaneous infection?,
170,AIEC,CD,"In particular, adherent-invasive Escherichia coli (AIEC) are enriched in ileal specimens from CD patients, in comparison to non-IBD patients; remarkably, however, AIEC were rarely found in samples from ulcerative colitis (UC) patients (Boudeau et al., 1999; Darfeuille-Michaud et al., 2004; Martinez-Medina et al., 2009).",positive,What is the relationship between AIEC and CD?,
133,Lactobacillus,LC,"[13] have found that the number of beneficial bacteria such as Bifidobacterium and Lactobacillus significantly decreases, while the levels of harmful bacteria such as Enterobacteriaceae and Enterococcus significantly increase in CHB and LC.",negative,What is the relationship between Lactobacillus and LC?,
847,Clostridium cocleatum,tumor,"Interestingly, GpS treatment augmented the relative abundance of probiotics such as Clostridium cocleatum and Bacteroides acidifaciens modulated by tumor implantation [31].",na,What is the relationship between Clostridium cocleatum and tumor?,
78,Escherichia,ID,"Given that the observed prevalence of Bifidobacterium and Lactobacillus were higher in feces of ID pigs, the increase in the relative abundance of Escherichia/Shigella is even more surprising.",positive,What is the relationship between Escherichia and ID?,
346,Fusobacterium vincentii,CRC-related,"For example, Zeller and Feng et al.showed that Porphyromonas asaccharolytica, Peptostreptococcus stomatis, Fusobacterium vincentii, and Fusobacterium animalis were predictive in the early diagnosis of colorectal cancer, which are among the tops of our list; in particular, F. nucleatum is a common CRC-related species which promotes tumor development [18,20,35].",relate,What is the relationship between Fusobacterium vincentii and CRC-related?,
396,Streptococcus gallolyticus,colorectal cancer,"Fusobacterium nucleatum, Escherichia coli, Enterococcus faecalis, Streptococcus gallolyticus, and enterotoxigenic Bacteroides fragilis are candidate microorganisms that were pointed out as initial triggers in the development of colorectal cancer (CRC).",positive,What is the relationship between Streptococcus gallolyticus and colorectal cancer?,
389,Porphyromonas gingivalis,cancerogenic,Fusobacterium nucleatum and Porphyromonas gingivalis are identified as cancerogenic bacteria.,positive,What is the relationship between Porphyromonas gingivalis and cancerogenic?,
385,Fusobacterium,chronic inflammatory,"Chronic Inflammatory Process Oral bacteria, especially anaerobic species such as Porphyromonas, Prevotella, and Fusobacterium, are responsible for periodontal diseases and lead to chronic inflammatory processes.",positive,What is the relationship between Fusobacterium and chronic inflammatory?,
119,Bacteroides intestinalis,T2D,"Accordingly, in investigations that analyzed this genus on the species level, Bacteroides intestinalis, Bacteroides 20?3 and Bacteroides vulgatus were decreased in T2D patients and Bacteroides stercoris were enriched after sleeve gastrectomy (SG) surgery in T2D patients with diabetes remission [5,11,17,24].",negative,What is the relationship between Bacteroides intestinalis and T2D?,
683,Clostridium hiranonis,low dysbiosis,"This was manifested by a considerable post-race increase in the bacteria Fusobacterium, Clostridium hiranonis, and Blautia, all of which are associated with normobiosis (low dysbiosis index, Figure 3).",positive,What is the relationship between Clostridium hiranonis and low dysbiosis?,
693,Haemophilus influenzae,CF,"Cystic fibrosis (CF) lung-transplant recipients are at particularly high risk of infection due to chronic pre-transplant colonization with microorganisms including Staphylococcus aureus, Haemophilus influenzae, and Pseudomonas aeruginosa, the latter being the most frequent pathogen in adult CF-patients (Cystic Fibrosis Foundation, 2011).",positive,What is the relationship between Haemophilus influenzae and CF?,
229,Tannerella forsythia,periodontitis,"We noticed an increase in the ecotype 2 of four specific species (Prevotella nigrescens, Fusobacterium nucleatum vincentii, Tannerella forsythia, and Treponema denticola) known to be involved in periodontitis and a decrease of two species (Eikenella corrodens and Streptococcus sp.)",positive,What is the relationship between Tannerella forsythia and periodontitis?,
848,Fn,CRC,Another study found that Fn can migrate with CRC cells to metastatic sites and that CRC patients may benefit from eradication of Fn with antibiotic treatment [53].,positive,What is the relationship between Fn and CRC?,
21,Porphyromonas gingivalis (Pg),periodontal diseases,"Four common periodontopathogens, Aggregatibacter actinomycetemcomitans (Aa), Porphyromonas gingivalis (Pg), Prevotella intermedia (Pi) and Tannerella forsythia (Tf), which are highly related to periodontal diseases and were mostly reported in the included studies, were selected for qualitative and quantitative analysis.",positive,What is the relationship between Porphyromonas gingivalis (Pg) and periodontal diseases?,
941,Psae,chronic colitis,"Hence, MDR Psae-induced pro-inflammatory immune responses were not restricted to the intestinal tract, but could also be observed systemically.Figure 6Splenic cytokine responses in multidrug-resistant P. aeruginosa infected mice suffering from chronic colitis.",na,What is the relationship between Psae and chronic colitis?,
1021,Streptococcus,periodontitis,"The healthy group dominated by Streptococcus sp., the gingivitis group was composed mostly by the genera Streptococcus, Capnocytophaga, Haemophilus, and Leptotrichia and the periodontitis group with a high abundance of Porphyromonas.",na,What is the relationship between Streptococcus and periodontitis?,
250,Clostridium,obese,"Most importantly probiotic intervention greatly modified the composition of intestinal microbiota (increased the load of Bifidobacterium, Lactobacillus, Proteobacteria, Bacteroidetes, and Peptococcaceae members and reduced the amount of Firmicutes, Clostridium, and Actinobacteria), which accelerates the weight loss in obese people [122] (Figure 4).",negative,What is the relationship between Clostridium and obese?,
243,Enterococcaceae,CRC,"Simultaneously, various opportunistic pathogens, able to induce inflammatory or metabolic disorders, including Campylobacter, Enterococcaceae, Erysipelotrichaceae, and Fusobacterium are increased in CRC patients [49].",positive,What is the relationship between Enterococcaceae and CRC?,
792,uropathogenic Escherichia coli(UPEC),UTIs,"UTIs can be caused by a variety of bacteria and fungi, but the most common pathogens are uropathogenic Escherichia coli(UPEC), followed by Klebsiella pneumoniae, Enterococcus faecalis, and Proteus mirabilis (34).",positive,What is the relationship between uropathogenic Escherichia coli(UPEC) and UTIs?,
35,Hp,MALT,"Introduction Helicobacter pylori (Hp) infections are related to the onset of various gut diseases, such as gastritis, gastric cancer, and mucosa-associated lymphoid tissue lymphoma (MALT) [1,2,3].",positive,What is the relationship between Hp and MALT?,
918,Mogibacterium timidum,RAS,"Serum Levels of IgG Against Mogibacterium timidum are Elevated in Patients with RAS To analyze humoral response to bacteria and fungi, we measured serum levels of antibodies against bacteria Acinetobacter johnsonii, Fusobacterium nucleatum, and Mogibacterium timidum and fungi Candida albicans and Candida tropicalis in patients with Active or Passive stage of RAS and in healthy controls.",positive,What is the relationship between Mogibacterium timidum and RAS?,
971,Bifidobacterium infantis,gastric cancer,"In the present study, the probiotic combination of Bifidobacterium infantis, Lactobacillus acidophilus, Enterococcus faecalis and Bacillus cereus was supplied to gastric cancer patients with partial gastrectomy, and their effect on reducing the severity of physiological disorders and microbial diversity in the stomach and faeces were investigated.",na,What is the relationship between Bifidobacterium infantis and gastric cancer?,
985,Clostridium,ASD,"Because this antibiotic is not absorbed in the gastrointestinal tract and its spectrum of action covers Gram-positive bacteria such as Clostridium, it is possible that these microorganisms play a role in ASD development, especially as vancomycin discontinuation led to a reversion of ASD symptoms [83].",positive,What is the relationship between Clostridium and ASD?,
