,experiment_id,methodological_detail_id,qualitative_outcome,disease_id,meddra_level,meddra_id,location_id,disease_name,organism_id,organism_name,organism_ncbi_id,subject_value,control_value,ratio,method_name,sample_name,host_type,host_id,publication_id,control_name,response_name,response_unit
35,36,,Elevated,3,preferred_term,10011401.0,12.0,Crohn's Disease,26,Staphylococcus aureus,1280.0,1.34,0.51,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
36,37,,Elevated,3,preferred_term,10011401.0,12.0,Crohn's Disease,27,Streptococcus anginosus,1328.0,1.09,0.32,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
37,38,,Elevated,3,preferred_term,10011401.0,12.0,Crohn's Disease,31,Streptococcus intermedius,1338.0,0.78,0.35,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
38,39,,Elevated,3,preferred_term,10011401.0,12.0,Crohn's Disease,28,Streptococcus mutans,1309.0,0.86,0.32,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
39,40,,Reduced,4,preferred_term,10009900.0,11.0,Ulcerative Colitis,23,Parvimonas micra,33033.0,0.47,0.87,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
40,41,,Reduced,4,preferred_term,10009900.0,11.0,Ulcerative Colitis,25,Peptostreptococcus anaerobius,1261.0,0.21,0.26,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
41,42,,Elevated,4,preferred_term,10009900.0,11.0,Ulcerative Colitis,26,Staphylococcus aureus,1280.0,0.46,0.36,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
42,43,,Reduced,4,preferred_term,10009900.0,11.0,Ulcerative Colitis,27,Streptococcus anginosus,1328.0,0.19,0.29,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
43,44,,Reduced,4,preferred_term,10009900.0,11.0,Ulcerative Colitis,32,Streptococcus mitis,28037.0,0.21,0.4,,DNA-DNA hybridization,Subgingival plaque,Human,4.0,4,Periodontitis patients without IBD,x 105 bacteria,x 105 bacteria
44,45,,Reduced,5,preferred_term,10023003.0,10.0,Irritable Bowel Syndrome,33,Bifidobacterium,41200.0,3.6,4.1,,qPCR,Faeces,Human,5.0,5,Healthy control,Log10 OTU's,Log10 OTU's
45,46,,Elevated,5,preferred_term,10023003.0,10.0,Irritable Bowel Syndrome,34,Ruminococcus productus,33035.0,3.2,2.6,,qPCR,Faeces,Human,5.0,5,Healthy control,Log10 OTU's,Log10 OTU's
46,47,,Elevated,5,preferred_term,10023003.0,10.0,Irritable Bowel Syndrome,35,Veillonella,29465.0,5.2,4.3,,qPCR,Faeces,Human,5.0,5,Healthy control,Log10 OTU's,Log10 OTU's
47,48,,Elevated,5,preferred_term,10023003.0,10.0,Irritable Bowel Syndrome,36,Bacteroides,29523.0,5.6,3.4,,qPCR,Faeces,Human,5.0,5,Healthy control,Log10 OTU's,Log10 OTU's
48,49,,Elevated,5,preferred_term,10023003.0,10.0,Irritable Bowel Syndrome,37,Pseudomonas aeruginosa,287.0,5.2,0.0,,qPCR,Faeces,Human,5.0,5,Healthy control,Log10 OTU's,Log10 OTU's
49,50,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,38,Bifidobacterium catenulatum,1686.0,7.07,8.2,,qPCR,Faeces,Human,6.0,6,Healthy control,Log10/g,Log10/g
50,51,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,38,Bifidobacterium catenulatum,1686.0,68.75,100.0,,qPCR,Faeces,Human,6.0,6,Healthy control,% (prevalence),% (prevalence)
51,52,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,38,Bifidobacterium catenulatum,1686.0,68.75,100.0,,qPCR,Faeces,Human,6.0,6,Hepatitis B patient,% (prevalence),% (prevalence)
52,53,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,39,Bifidobacterium longum,216816.0,31.25,80.0,,qPCR,Faeces,Human,6.0,6,Healthy control,% (prevalence),% (prevalence)
53,54,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,39,Bifidobacterium longum,216816.0,31.25,81.25,,qPCR,Faeces,Human,6.0,6,Hepatitis B patient,% (prevalence),% (prevalence)
54,55,,Elevated,6,preferred_term,10019641.0,10.0,Cirrhosis,40,Bifidobacterium dentium,1689.0,56.25,6.66,,qPCR,Faeces,Human,6.0,6,Healthy control,% (prevalence),% (prevalence)
55,56,,Elevated,6,preferred_term,10019641.0,10.0,Cirrhosis,41,Enterococcus,35783.0,9.04,7.53,,Cell culture,Faeces,Human,7.0,7,Healthy control,Log 10 cfu/g,Log 10 cfu/g
56,57,,Elevated,6,preferred_term,10019641.0,10.0,Cirrhosis,42,Enterobacter,42895.0,9.79,8.81,,Cell culture,Faeces,Human,7.0,7,Healthy control,Log 10 cfu/g,Log 10 cfu/g
57,58,,Reduced,6,preferred_term,10019641.0,10.0,Cirrhosis,33,Bifidobacterium,41200.0,9.48,10.04,,Cell culture,Faeces,Human,7.0,7,Healthy control,Log 10 cfu/g,Log 10 cfu/g
58,59,,Elevated,6,preferred_term,10019641.0,10.0,Cirrhosis,9,Clostridium,1506.0,10.41,9.3,,Cell culture,Faeces,Human,7.0,7,Healthy control,Log 10 cfu/g,Log 10 cfu/g
59,60,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,44,Prevotella,59823.0,8.8,8.1,,qPCR,Faeces,Human,8.0,8,Healthy control,Log10/g,Log10/g
60,61,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,14,Roseburia,841.0,9.6,9.0,,qPCR,Faeces,Human,8.0,8,Healthy control,Log10/g,Log10/g
61,62,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,45,Akkermansia muciniphila,239935.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
62,63,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,46,Bacteroides intestinalis,329854.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
63,64,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,47,Clostridium boltae,208479.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
64,65,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,48,Clostridium hathewayi,154046.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
65,66,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,49,Clostridium ramosum,1547.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
66,67,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,50,Clostridium symbiosum,1512.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
67,68,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,4,Eggerthella lenta,84112.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
68,69,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,51,Escherichia coli,562.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
69,70,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,52,Alistipes,239759.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
70,71,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,53,Parabacteroides,1869337.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
71,72,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,54,Subdoligranulum,292632.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
72,73,,Elevated,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,55,Lachnospiraceae,186803.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
73,74,,Reduced,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,8,Eubacterium rectale,39491.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
74,75,,Reduced,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,6,Faecalibacterium prausnitzii,853.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
75,76,,Reduced,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,56,Haemophilus parainfluenzae,729.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
76,77,,Reduced,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,57,Roseburia intestinalis,166486.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
77,78,,Reduced,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,58,Roseburia Inulinivorans,360807.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
78,79,,Reduced,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,59,Eubacterium,142586.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
79,80,,Reduced,7,preferred_term,10067585.0,10.0,Type 2 Diabetes,60,Erysipelotrichaceae,128827.0,,,,Shotgun sequencing,Faeces,Human,9.0,9,Healthy control,,
80,81,,Reduced,8,preferred_term,10029883.0,10.0,Obesity,61,Bacteroides vulgatus,821.0,6.2,21.7,,qPCR,Faeces,Human,10.0,10,Healthy control,% (abundancy),% (abundancy)
81,82,,Elevated,8,preferred_term,10029883.0,10.0,Obesity,1,Lactobacillus,1591.0,6.44,5.69,,qPCR,Faeces,Human,10.0,10,Healthy control,Log10/g,Log10/g
82,83,,Reduced,9,preferred_term,10036463.0,10.0,Pouchitis,1,Lactobacillus,1591.0,,,0.2,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy FAP pouches ,% (abundancy),% (abundancy)
83,84,,Reduced,9,preferred_term,10036463.0,13.0,Pouchitis,1,Lactobacillus,1591.0,,,0.33,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Pouch biopsie,Human,11.0,11,Healthy FAP pouches ,% (abundancy),% (abundancy)
84,85,,Reduced,9,preferred_term,10036463.0,10.0,Pouchitis,62,Streptococcus,1306.0,,,0.2,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy FAP pouches ,% (abundancy),% (abundancy)
85,86,,Reduced,9,preferred_term,10036463.0,13.0,Pouchitis,62,Streptococcus,1306.0,,,0.33,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Pouch biopsie,Human,11.0,11,Healthy FAP pouches ,% (abundancy),% (abundancy)
86,87,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,9,Clostridium,1506.0,,,5.0,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy FAP pouches ,% (abundancy),% (abundancy)
87,88,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,59,Eubacterium,142586.0,,,5.0,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy FAP pouches ,% (abundancy),% (abundancy)
88,89,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,14,Roseburia,841.0,,,5.0,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy FAP pouches ,% (abundancy),% (abundancy)
89,90,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,9,Clostridium,1506.0,,,15.0,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy UC pouches,% (abundancy),% (abundancy)
90,91,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,59,Eubacterium,142586.0,,,15.0,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy UC pouches,% (abundancy),% (abundancy)
91,92,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,14,Roseburia,841.0,,,15.0,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy UC pouches,% (abundancy),% (abundancy)
92,93,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,63,Escherichia,561.0,,,2.0,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy UC pouches,% (abundancy),% (abundancy)
93,94,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,62,Streptococcus,1306.0,,,2.0,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,11.0,11,Healthy UC pouches,% (abundancy),% (abundancy)
94,95,,Reduced,9,preferred_term,10036463.0,10.0,Pouchitis,36,Bacteroides,29523.0,99.0,678.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
95,96,,Reduced,9,preferred_term,10036463.0,10.0,Pouchitis,53,Parabacteroides,1869337.0,0.0,21.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
96,97,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,44,Prevotella,59823.0,45.0,11.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
97,98,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,9,Clostridium,1506.0,64.0,9.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
98,99,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,64,Lachnospira,28050.0,12.0,0.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
99,100,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,14,Roseburia,841.0,60.0,1.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
100,101,,Reduced,9,preferred_term,10036463.0,10.0,Pouchitis,65,Faecalibacterium,216851.0,0.0,62.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
101,102,,Reduced,9,preferred_term,10036463.0,10.0,Pouchitis,66,Acidaminococcus,904.0,0.0,10.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
102,103,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,35,Veillonella,29465.0,23.0,5.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
103,104,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,67,Akkermansia,239934.0,155.0,35.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
104,105,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,68,Citrobacter,544.0,5.0,0.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
105,106,,Reduced,9,preferred_term,10036463.0,10.0,Pouchitis,63,Escherichia,561.0,0.0,24.0,,16S rRNA sequencing,Faeces,Human,11.0,11,Healthy FAP pouches ,Number of identifiable sequences,Number of identifiable sequences
106,107,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,69,Leptospira,171.0,,,,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,12.0,12,Healthy pouch patient,,
107,108,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,70,Pseudoalteromonas,53246.0,,,,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,12.0,12,Healthy pouch patient,,
108,109,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,71,Desulfosporosinus,79206.0,,,,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,12.0,12,Healthy pouch patient,,
109,110,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,72,Microcystis,1125.0,,,,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,12.0,12,Healthy pouch patient,,
110,111,,Elevated,9,preferred_term,10036463.0,10.0,Pouchitis,73,Methylobacter,429.0,,,,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Faeces,Human,12.0,12,Healthy pouch patient,,
111,112,,Elevated,10,preferred_term,10049416.0,10.0,Short Bowel Syndrome,63,Escherichia,561.0,,,,16S rRNA sequencing,Faeces,Human,13.0,13,Healthy control,,
112,113,,Elevated,10,preferred_term,10049416.0,10.0,Short Bowel Syndrome,74,Shigella,625.0,,,,16S rRNA sequencing,Faeces,Human,13.0,13,Healthy control,,
113,114,,Elevated,10,preferred_term,10049416.0,10.0,Short Bowel Syndrome,62,Streptococcus,1306.0,,,,16S rRNA sequencing,Faeces,Human,13.0,13,Healthy control,,
114,115,,Reduced,10,preferred_term,10049416.0,10.0,Short Bowel Syndrome,52,Alistipes,239759.0,,,,16S rRNA sequencing,Faeces,Human,13.0,13,Healthy control,,
115,116,,Reduced,10,preferred_term,10049416.0,10.0,Short Bowel Syndrome,53,Parabacteroides,1869337.0,,,,16S rRNA sequencing,Faeces,Human,13.0,13,Healthy control,,
116,117,,Reduced,10,preferred_term,10049416.0,10.0,Short Bowel Syndrome,55,Lachnospiraceae,186803.0,,,,16S rRNA sequencing,Faeces,Human,13.0,13,Healthy control,,
117,118,,Reduced,11,preferred_term,10000565.0,10.0,Acquired Immunodeficiency Syndrome,75,Ruminococcus callidus,40519.0,,,,16S rRNA sequencing,Faeces,Human,14.0,14,Healthy control,,
118,119,,Reduced,11,preferred_term,10000565.0,10.0,Acquired Immunodeficiency Syndrome,76,Ruminococcus bromii,40518.0,,,,16S rRNA sequencing,Faeces,Human,14.0,14,Healthy control,,
119,120,,Reduced,12,preferred_term,10023856.0,14.0,Laryngeal carcinoma,62,Streptococcus,1306.0,25.1,56.1,,16S rRNA sequencing,Tissue biopsie,Human,179.0,15,Vocal cord polyp patients,% (abundancy),% (abundancy)
120,121,,Elevated,12,preferred_term,10023856.0,14.0,Laryngeal carcinoma,77,Fusobacterium,68766.0,19.1,7.9,,16S rRNA sequencing,Tissue biopsie,Human,179.0,15,Vocal cord polyp patients,% (abundancy),% (abundancy)
121,122,,Elevated,12,preferred_term,10023856.0,14.0,Laryngeal carcinoma,44,Prevotella,59823.0,15.0,6.9,,16S rRNA sequencing,Tissue biopsie,Human,179.0,15,Vocal cord polyp patients,% (abundancy),% (abundancy)
122,123,,Elevated,12,preferred_term,10023856.0,14.0,Laryngeal carcinoma,78,Parvimonas,543311.0,4.6,1.3,,16S rRNA sequencing,Tissue biopsie,Human,179.0,15,Vocal cord polyp patients,% (abundancy),% (abundancy)
123,124,,Elevated,12,preferred_term,10023856.0,14.0,Laryngeal carcinoma,79,Peptostreptococcus,1262.0,3.6,0.6,,16S rRNA sequencing,Tissue biopsie,Human,179.0,15,Vocal cord polyp patients,% (abundancy),% (abundancy)
124,125,,Elevated,12,preferred_term,10023856.0,14.0,Laryngeal carcinoma,80,Dialister,39948.0,1.1,0.2,,16S rRNA sequencing,Tissue biopsie,Human,179.0,15,Vocal cord polyp patients,% (abundancy),% (abundancy)
125,126,,Reduced,12,preferred_term,10023856.0,14.0,Laryngeal carcinoma,81,Mobiluncus,47293.0,0.0,0.07,,16S rRNA sequencing,Tissue biopsie,Human,179.0,15,Vocal cord polyp patients,% (abundancy),% (abundancy)
